SUM	Total
SEDUCE	Tempt
URANUS	Planet beyond Saturn
MIMOSA	Brunch drink
MOAT	Castle protector
MUSHY	Like cooked oatmeal
ONEA	Prime draft classification
ABAT	Blind as ___
TATI	Jacques of French cinema
STRAW	Sipper's aid
SQUAB	Edible pigeon
TURN	Swirl
RIG	Trucker's truck
ACE	Serve that zings
WKS	Divs. of months
ERI	"___ tu" (Verdi aria)
UNBAR	Open, as a gate
ROMEO	He was asked "Wherefore art thou?"
QUICK	Rapid-fire
DAM	Beavers' project
SEATO	Former Bangkok-based grp.
URGES	Yens
UNOWHATIMEAN	Question of understanding, to a Spanish count?
WHIPSUP	Creates quickly
EBWHITE	"Charlotte's Web" author
CUSHY	Undemanding, as a job
EBB	Recede
IMA	"___ girl watcher" (1968 song lyric)
IRAN	Shah's land, once
MACE	Anti-attacker spray
AGE	"___ before beauty"
ESAI	Actor Morales
RESOW	Plant again
REFEREE	"Foul!" caller
ELM	Shade provider
SEEDY	Rundown
BRAG	Boast
BRIOCHE	Sweet roll
PEELE	"The Old Wives' Tale" dramatist George
EON	Long, long time
HORACE	"Ars Poetica" poet
OCT	World Series mo.
DOSOFMEDICINE	What a doctor prescribes, to a Spanish count?
DEER	Stags and does
OJAI	Town east of Santa Barbara
DIM	Barely lit
JEJUNE	Lacking interest
JRS	P.S.A.T. takers
DITTO	"Same here"
REAP	Harvest
RHYME	Important element of rap lyrics
HASTE	Swiftness
CRIB	Where baby sleeps
RANCOR	Ill will
INTUNE	What musical instruments should be
BESTED	Defeated
SRI	___ Lanka
TEA	Coffee alternative
TRYST	Rendezvous
SHANE	Alan Ladd western
SMELT	Relative of the salmon
TRESELEMENTS	Minute nutritional components, to a Spanish count?
TERN	Graceful aquatic bird
ERRS	Goes astray
LURE	Tempt
ECON	Supply-and-demand subj.
ARMEY	House V.I.P. Dick
ALT	Not the main route: Abbr.
RIA	Narrow inlet
MAI	___ tai
TRUCE	Cease-fire
CUT	Cause for a Band-Aid
LIARS	Perjurers
ERROL	Swashbuckling Flynn
ONE	Word repeated in "takes ___ to know ___"
TAINT	Slight contamination
SENT	Mailed
RED	Bloodshot
