AHAB	Pequod skipper
ALLS	"___ Well That Ends Well"
HEAT	Miami five
AEROSPACE	Lockheed Martin field
BRAVO	Acclaim for Pavarotti
MASTS	Mizzen and jigger, e.g.
MAT	Pin location
ASH	Volcanic fallout
SCENE	Vista
TAMEST	Most docile
SPEECH	Cry at an awards ceremony
CAMS	Engine disks
CAMEO	Minor role
ALIBI	Excuse
MODOC	Oregon Indian
SEINE	English Channel feeder
LEER	Lascivious look
ASCAP	Abbr. on a record label
ALOE	Skin cream ingredient
LARASTHEME	Song a k a "Somewhere, My Love"
SEPT	Be Kind to Editors and Writers Month: Abbr.
MIDI	Noon, in Nantes
STOVE	Potbelly, e.g.
NEE	Society page word
EBON	Black, in poetry
SOPHIESCHOICE	1982 Meryl Streep film
HEAR	"___ me out"
INRI	Crucifix letters
HYDE	Jekyll's counterpart
RAP	Gangsta ___
REVS	Races, as a motor
ASIN	Z ___ zebra
TEN	Gymnast's goal
THY	Word before rod or staff, in Psalms
ESAU	Brother of Jacob
UTE	Salt Lake City athlete
ART	Gallery display
TAP	Spigot
DATES	Prom couples
ACT	Dramatize, with "out"
TRIATHLON	Iron man event
EELS	Wriggly fish
STEP	Escalator part
VICTORIASSECRET	Popular mail order company
ORSO	Approximately
SUPS	Has dinner
SNAG	Hidden catch
SNEER	Look of contempt
PUN	Bit of paronomasia
TILE	Floor square
SLA	Patty Hearst's kidnap grp.
LLAMAS	Alpaca cousins
ADDUCE	Bring forward as evidence
PAW	Foot in the forest
WILY	Scheming
ASP	Nile viper
HUMBOLDTSGIFT	Saul Bellow's Pulitzer-winning novel
HAYED	Did fieldwork?
USAGE	Grammarian's concern
MEMOS	Office notes
BASSI	Deep voices
TORRE	Baseball manager Joe
FASTS	Prison protests
ASEA	Out of port
ADO	Hubbub
LAHRS	Cowardly Lion portrayer and family
RANI	Punjabi princess
SWIT	Hot Lips Houlihan player
YAMS	Thanksgiving dishes
MURPHYSLAW	"Anything that can go wrong will"
PEI	Canton-born architect
HST	Former White House inits.
EGOS	Freudian topics
ACRES	"Green ___"
TONI	Singer Tennille
DESI	Lucy's partner
SEEIT	"Now you ___, now..."
SNIT	Pique
