BASER	More meanspirited
BAJA	___ California
AHEM	Throat clearing
SONS	Princes, but not princesses
ERN	Suffix with north or south
RAYGUNS	Sci-fi weapons
HIPS	Elvis moved his, famously
HERESY	Rejection of church dogma
IRAS	Levin and Gershwin
PSI	Letter before omega
SEGMENTS	Divisions
SLAW	Cole ___
SYSTEM	Network
LANA	Glamorous actress Turner
ALAN	Broadway's ___ Jay Lerner
WEPT	Cried
AHORA	Now, in Spain
ERSE	Gaelic
YALE	George W. Bush's alma mater
JENNYCRAIG	Big name in weight loss
COTY	1950's French president René
SNAP	Sound preceding crackle and pop
AMS	Mornings, for short
GOES	"There ___ the neighborhood!"
MUTANT	Genetic anomaly
URGE	Press on
OUTS	Inning divisions
ONTO	Cognizant of
SERE	Withered
SUIT	Business attire
HENNYYOUNGMAN	"Take my wife ... please!" comedian
HITUP	Try to get money from, slangily
ESTEE	Cosmetician Lauder
OCALA	Florida citrus city
AVAIL	Be of use to
NOBEL	Prestigious prize
FISTS	Lumps of Clay?
FOR	Supporting
CITE	Quote
VOW	"I do," at the altar
WED	Join in holy matrimony
OTTO	Chancellor von Bismarck
KEATS	"Hyperion" poet
KEYHOLES	Peepers' places
ELMS	Shade trees
BABE	Baseball's Ruth
BRAS	Playtex products
RUE	Poe's "The Murders in the ___ Morgue"
SELL	Unload, as stock
SNAG	Glitch
TRIED	Took a stab at
THIMBLE	Sewing aid
PENNYMARSHALL	"Big" director, 1988
NAILED	Caught in the act
ROUNDS	Doctors make them in hospitals
STAY	Not leave
AAHS	Sounds of pleasure
OTIS	Singer Redding
INDIGO	Color of Duke Ellington's "Mood"
IVAN	___ the Terrible
NINE	Number dialed before two ones
DATE	July 4, 1776, e.g.
GUAM	Its slogan is "Where America's Day Begins"
GNAW	Chew (on)
FIB	Little lie
FUME	Show anger
ICON	Bit of Windows dressing?
BENT	Not straight
VIAL	Medicine bottle
LENNYBRUCE	Real-life comic played in film by Dustin Hoffman
EGO	Freudian topic
REV	Gun, as an engine
ANTE	Feed the kitty
EGAD	"Heavens to Betsy!"
LEMON	Furniture polish scent
NEED	Requirement
SOWS	Scatters, as seed
EVENT	Happening
