BAGS	Carousel contents
BOMBAY	Base for the old British East India Company
ARYANS	Indo-Europeans
GEORGE	With 126-Down, a noted humorist
SOURER	Not so pleasant
PRISON	Life may be spent here
PCPS	Some hallucinogens, for short
ROUT	Really clobber
INTERIM	Temporary
STIRIN	Recipe direction
ORS	Places for R.N.'s
NADA	Bubkes
SLOBS	Ones whose work isn't picking up
SEWAGE	Waste
LANCEITO	Judge in 1990's news
ORBE	Kill ___ killed
BLU	R & B singer Cantrell
SETSUP	Establishes
RHEAS	Flightless birds
RHEOSTAT	Electrical resistor
HEARTACHE	Subject of many a sad ballad
ELSA	Couturière Schiaparelli
ALEG	Something to break or shake, in phrase
SOLE	Unduplicated
OREO	Nabisco brand
CONTRA	Against
EARLE	Country/rock singer Steve
HELLO	"Anybody home?"
MYOUTPUTISDOWNBUT	Start of a comment by 3- and 126-Down
TIL	Up to, in ads
ORAMA	Slangy commercial suffix
EASEL	Oil holder, maybe
BARRISTER	Wig wearer
ARACE	"It's ___ to the finish"
STORAGE	Overhead bin, e.g.
TRIP	Activate, as a switch
ANGEL	Dearie
RIO	Kia model
OCTET	String group, maybe
AGE	Yellow or gray
BURST	Popped
BUTTIN	Put oneself where one shouldn't
YSER	1914 battle line
MYINCOMEISUPITAKEA	Comment, part 2
MEUP	"Beam ___ …"
YESOR	"___ no?"
ORBIT	Ride around
SORT	Order
KEANE	"The Family Circus" cartoonist
ERNES	Cousins of ospreys
ASTRO	Minute Maid Park player
TEEM	Brim
TOTTERED	Barely got along
TRA	La-la lead-in
TOT	Trike rider
PACERS	Some racehorses
POMPOUS	Puffed up
PSALM	One begins "The Lord is my light and my salvation"
OHSAY	Anthem start
MONTE	Con game
PROTAX	Favoring bigger government, say
FEB	Library Lovers Mo.
FISCAL	Kind of conservative
AORTA	Natural pump outlet
ANTIC	Bit of tomfoolery
AMAIN	With full force
THANT	Former U.N. chief U ___
SHORTPOSITION	Comment, part 3
SEAL	Circus trainee
OAF	Butterfingers
TIME	Proctor's call
ENO	Brian of early Roxy Music
ENER	Cabinet dept.
ASNOT	"So ___ to offend …"
RES	Phone book abbr.
TATE	Where many Sargents hang, with "the"
ELLA	Cinders of old comics
NANU	When repeated, an old TV sign-off
UNTANGLE	Straighten
ESO	Spanish pronoun
LATTE	Drink sometimes flavored with cinnamon
ACE	Whiz
ESSO	Station along Route 66
FILL	Dirt in a dump truck, maybe
LOAVES	Basis of a biblical miracle
IONA	Isle of Mull neighbor
ARRIBA	Exuberant cry in Mexico
MYEAR	"The Torch in ___" (Elias Canetti memoir)
CLASS	With 81-Across, landmark 1972 album by 3- and 126-Down
CAMEO	Now you see it, now you don't
STJOE	NW Missouri city, informally
CLOWN	See 79-Across
WAIL	Cry one's head off
TRISH	Actress Van Devere
INGOD	Opening for a coin?
SIENA	Tuscany cathedral city
HERDS	Ranch stock
XENA	TV series featuring the war god Ares
NUT	Wrench's target
LSTS	D-Day transports: Abbr.
SON	Sequel title starter
AAA	Very narrow, in a way
ARNIE	Football Hall-of-Famer Herber
SAW	Dated
SAMBA	Latin dance
AVIAN	Feathered, say
WORLD	Tulsa daily, with "the"
DUMA	Russian assembly
ARRIVE	Show up
OJOS	Spanish eyes
STIES	Trash pads?
VIC	Damone of song
COCOA	Drink that's stirred
NIGER	Land on Lake Chad
AVOW	Swear
WEBMASTER	On-site supervisor?
TERM	Lexicographer's study
MADE	Concocted
ONTHELONGBOND	Comment, part 4
HOOTS	Night calls
NORM	What's expected
MIRES	Sloughs
SOYBEANS	Midwest harvest
ORALE	Cape in the Holy See
LANDLINE	Noncellular phone
IOS	Colorful moths
COLADAS	Piña ___ (drinks)
BALBOA	Monetary unit of Panama
ARBS	Wall St. figures
IDA	Where the Snake River snakes: Abbr.
LEO	Constellation near Cancer
LEANS	Lists
SORE	Put out
SEDUCED	Led astray
ANDMYREVENUESTREAM	Comment, part 5
EITHER	Flexible reply
UNITES	Plays peacemaker for
RUANDA	Bantu language
DCII	Seventh-century year
DEAFTO	Not hearing
CARLIN	See 3-Down
INTONE	Chant
ITSWAR	Battle cry
ABBIE	Opera singer Mitchell of "Porgy and Bess"
DNA	Strand material
SUD	Afrique du ___
MEANT	Had in view
MPH	Radar fig.
CLOSEST	Most dear
COST	Toll
LUIS	Baseball Hall-of-Famer Aparicio
OTRA	Not this or that, in Spain
OLINS	Ken and Lena of Hollywood
OSIS	Medical suffix
SOAR	Shoot up
AUTOPARTS	Belt and hose, e.g.
TART	Acerb
OSSO	Italian bone
OUTTA	"I'm ___ here!"
HASITSOWNCASHFLOW	End of the comment
AZO	___ dye
WIE	Golfer Michelle
SIREN	Kind of call
EZINE	Publication that clicks with readers?
AIDERS	Helping hands
TINA	A Sinatra
TSARS	Some Romanovs
ROSES	Honey bunch?
READTO	Entertain, as a child at bedtime
ONER	Real lulu
