SERA	Blood fluids
SARAH	Skater Hughes
EDUCE	Draw forth
RENTS	Gets a flat, maybe
ANNE	Green Gables girl
SCAB	Picket line crosser
SAN	__ Ysidro, Calif.
CIG	Smoke, slangily
ARTS	They may be fine
BEHAR	Original "The View" panelist Joy
BOSSY	Generic cow's name
BEGOTTEN	Sired
OLAY	Oil of __ (skin care product)
SAME	All the __ (immaterial)
STUD	Poker variety
YET	"Is it soup __?"
ADEN	Yemeni port
AIRE	Suffix with million
ELATE	Put on cloud nine
RUNNINGTHEGAMUT	Covering it all
IDEA	Inventor's start
EMUS	Grounded birds from down under
ACTED	Played a role
SAMOYED	Siberian herding dog
HES	"For __ a jolly ..."
ESS	Snaky shape
STAN	Tennis great Smith
SERGE	Suit material
RUT	Dirt road feature
WATER	Desert's dearth
WAHOO	"Whoopee!"
RAYON	Fiber made from cellulose
STARER	Rubbernecker
ALGOL	Star in Perseus
RIMS	Lens holders
ETAL	List ender
RENO	Slots site
ASIA	Home to most
ADOS	Commotions
SANE	Mentally sound
ISIT	"But __ art?"
ARAB	Spirited steed
BONET	Lisa of "The Cosby Show"
ELITE	Top-drawer
DASHINGYOUNGMAN	Gallant sort
INFINITE	Immeasurably large
USPS	Snail mail org.
ONION	Bermuda or Vidalia
EONS	Many millennia
OSLO	Scandinavian capital
SETOFF	Ignite
FRAN	Drescher of "The Nanny"
NEPAL	Everest is on its border
AERO	Flight: Prefix
IRA	Org. in "Michael Collins"
AGGIE	Texas A & M athlete
TSE	China's Lao-__
ASA	__ rule (generally)
AFIRE	In flames
STEIN	Oktoberfest vessel
ASSET	Black-ink entry
TEENAGE	Like most new drivers
TONO	__ avail (fruitless)
EGGO	Frozen waffle brand
EGOS	Swelled heads
EMMA	Jane Austen classic
RAFTS	Inflatable boats
ARBS	Some Wall St. traders
JOGGINGMEMORIES	Evoking recollections
JIM	Morrison of the Doors
EST	Attendance fig.
MOS	Calendar pgs.
INGOT	Gold brick
IMSO	"__ Excited" (Pointer Sisters hit)
BRIE	Mold-ripened cheese
MOOSE	Archie's dense pal
EATS	Beanery sign
SENT	Dropped in the mail
