BANDB	Intimate inn, familiarly
BITE	Fall for something
AREA	Figure in geometry
NEXT	On deck
DNA	Kind of sample
BESTILL	"Hush!"
GROH	Actor David of "Rhoda"
GLADTO	"My pleasure!"
ROXY	Classic theater name
OLE	Corrida cheer
HASPULL	Knows people, say
ABAB	Common rhyme scheme
AMINOR	Key of Beethoven's "Für Elise"
BABYSITTER	Occasional role for a 30-Down, maybe
ACLU	Rights grp.
BEEP	Audible warning on the road
IRENE	Cara of "Fame" fame
LOLA	"Damn Yankees" woman who gets what she wants
MACE	Mug spray?
TEXASTAXES	What helps pay the governor's salary in Austin?
TIFFS	Spats
IBLE	Suffix with convert
EAT	Mother's urging at the dinner table
TIDY	Like some sums
PONYUP	Pay
OTOS	Platte River people
GIFT	"It's a ___"
GAEA	Earth goddess
AUTOS	Hudson and LaSalle, once
AFRO	Retro hairstyle
DIALFORFLORIDA	Try to telephone some snowbirds?
DOREN	Quiz show scandal figure Charles Van ___
ITSTOOLATE	"You had your chance"
RUNIN	Unpleasant encounter
DRINK	Have trouble passing the bar?
AUNT	Family member
HOTELS	Monopoly purchases
HUNK	Playgirl calendar type
URLS	Modern addresses, for short
TRU	Broadway play about Capote
URSA	Major in astronomy?
ANO	Calendario span
ATEE	Perfectly, after "to"
ITIN	"Put ___ writing"
ISON	Airs
NET	Back of a soccer goal
ANTI	Con
ARAM	Composer Khachaturian
NYTIMES	Daily since 1851, briefly
ABSENT	Whimsical roll-call response
AWAKE	"Are you ___?"
BYHEART	From memory
KNOWRYENEWYORK	Be familiar with a city near White Plains?
WRAPUP	Finish
EZINES	Online reads
ORATE	Be grandiloquent
ZAHN	Journalist Paula
SALAMI	Deli offering
STEW	Worry (over)
ARTE	"Laugh-In" comedian Johnson
HIKE	Explore Yosemite, perhaps
HILT	Sword handle
JAM	Pickle
JIBE	Agree
AMOK	Wild
METS	Team Gil Hodges both played for and managed
TRAP	It may be sprung
MAINEANIME	Some film work Down East?
ALE	Bass, for one
NOR	Neither's partner
ETTU	Rebuke from Caesar
ELLE	Vogue competitor
ROBOT	Unthinking servant
WEEP	Have a bawl
SETS	Hollywood constructions
TREKS	Journeys
