UMPS	Pitch evaluators
UPC	Scanned lines, for short
MOHS	Hardness scale inventor
PORE	Tiny perforation
SLIM	Unpromising, as a chance
CADY	Children's illustrator Harrison ___
CUT	Director's cry
ATM	Device at a drive-thru
DIASPORA	Large-scale flight
YESNO	Phrased for a quick answer
POWER	"The great aphrodisiac," per Henry Kissinger
PERPS	Lawbreakers
OLEO	Tub filler
WEAN	Remove gradually from, with "off"
ENT	Med. specialty
RIYADH	City that's home to King Fahd Road
FRAIL	Easily broken
FLATHEEL	Like some boots
RADIOSHOWS	Rush jobs?
ASIF	Like
ISEE	Neutral reaction to a revelation
LOUD	Easily picked up, say
POOLCUTIE	Bathing beauty at a swimming facility?
CSI	TV program set in Vegas
ELENI	Nicholas Gage memoir
LASSO	Something thrown for a loop?
CHRISTMASTREATY	Armistice signed on December 25?
TAN	Light earth tone
ADIEU	Leave-taking
SEMI	Important match
SNAPON	Easily attached
ACTIFED	Allergy medication brand
CANTO	Division of an Edmund Spenser work
CAPONS	Poultry delicacies
CUB	Tiny tiger
ASAP	With all haste
IDAHO	Bear Lake State Park locale
ICY	Bitterly cold
CPAS	Excellent summers, for short?
CHEEKS	Where some hooks connect
PANNED	Had nothing good to say about
ANDREI	Peace Nobelist Sakharov
SNOOP	One who's in your business?
USO	Grp. that entertains troops
LOCHNESTEA	Scottish body of water with beverage concentrate added?
LINDY	Swinging dance
OTTO	Sharkey of TV's "C.P.O. Sharkey"
TRIO	Chamber group, often
EASE	Lessen, as pain
ANTS	Unpaid workers?
HANNABARBARITY	Awful illustration from cartoonist William?
ARNICA	Yellow-flowered perennial
BYFAR	Overwhelmingly
AMIS	"House of Meetings" novelist, 2006
RENT	Ripped
TEHRAN	Mideast capital
ENDOR	"Return of the Jedi" moon
PAYMENT	Something not to be missed?
SOLOIST	Lone player
STOIC	Follower of the philosopher Epictetus
ENRON	___ Field (former name of Minute Maid Park)
FINDOUT	Discover
UCLA	Pac-10 competitor
WOES	Reasons to cry
KEEPINGPASTY	Opting not to sunbathe?
NOG	Drink from a bowl
GLUES	Puts together, in a way
POEM	It may be measured by a meter
COCKS	Readies, as a firearm
CEL	Animator's sheet
KRAMER	John ___, villain in the "Saw" films
SDI	Reagan-era program, in brief
COLOR	Some of this may be picked up at a beach
SLIER	Better at scheming
STRUT	Look-at-me walk
CSA	Union opposer: Abbr.
CIMINO	"Heaven's Gate" director
STINTS	Is parsimonious
AYEAYE	Roger on a ship
HAGUE	___ Tribunal (international court)
HYPNOTIZED	Open to suggestions, say
SANTACLARITY	Exactness in giving orders to toymaking elves?
SETBY	Kept for future use
ARAB	Burnoose wearer
NOTI	Response to the Little Red Hen
RADAR	Speedster's undoing
PLAY	Remote button
POOH	"That's just silly!"
LILI	Actress Taylor
ALIT	Settled on a branch
EMPEROR	Japanese ruler
PSAT	H.S. exam
MAMIE	First lady after Bess
OILPANS	Crankcases' bases
ADRENALS	Epinephrine-producing glands
NAMED	Identified
STATUTE	Civil code entry
TWOSTEPS	Some Scott Joplin compositions
EARS	Prominent parts of a George W. Bush caricature
EDINA	Minneapolis neighbor
OLINDA	Brazilian beach resort
RABBITWARRANTY	What a bunny buyer at a pet shop might want?
RSA	Cape Town's home: Abbr.
REA	Stephen of "Stuck"
HITORMISTY	Choice of songs at a piano bar?
INSTIR	Doing time
ORE	It's lode-bearing
ROSE	Pinkish
TEENA	R&B singer Marie
EDESSA	12th-century Crusader state
EMORY	The Eagles of the N.C.A.A.
DEI	"Ad majorem ___ gloriam" (Jesuit motto)
ENSUE	Follow
UNBINDS	Sets free
UTAH	___ Beach (D-Day site)
NERO	Historical subject of a Boito opera
BRIO	Vigor
OSMENT	Actor Haley Joel ___ of "The Sixth Sense"
ORCA	Boat in "Jaws"
STUD	Small earring
ROAM	Use a cell phone outside one's local calling area
REP	Sales force member
OLAF	Minnesota's St. ___ College
ATRA	Razor brand
MITT	Necessity when playing hardball
TERZA	___ rima (verse form for Dante)
TORTOISESHELTIE	Hybrid sheepdog that moves ver-r-ry slowly?
ONE	Together
STP	Maker of fuel additives
HON	Turtledove
EYE	Smiley dot
ARIEL	Oscar : United States :: ___ : Mexico
INCUR	Rack up
UPTOPARTY	Drinking and dancing instead of sleeping?
HOODS	Punks
READY	"You good to go?"
ESPN	"Nascar Now" broadcaster
FATE	Conventional explanation for a tragic event
