BOSN	Deck crew's boss, briefly
BAHS	Scornful cries
OREO	It has a 1 3/4" diameter
SCAM	Ripoff
NOVENA	Devotion
ISMS	Schools of thought
ISNOT	Playground retort
SPARROW	Songbird
MINEOLA	Long Island county seat
STD	Norm: Abbr.
SAND	With 110-Down, a beach sight
SOAKS	Fleeces
ACRE	God's ___ (churchyard)
NITS	Their parents are parasites
DOHA	Qatar's capital
AMAZE	Wow
ABIDE	Tolerate
MEDDLES	Interferes
AREA	Suburb, for one
ZEAL	Gung-ho quality
EASE	Laid-back quality
ARCO	Sacramento's ___ Arena
SPIT	Roasting rod
SOCIO	Economic leader?
SEAR	Brand
BEREA	Kentucky college or town
HEAVENANDDEARTH	Report on famine in utopia?
EMI	Music pub. giant
DCI	Early seventh-century date
IDEAS	They're sometimes funny
SOMEMORE	Seconds
CAKESANDDALE	What Roy Rogers had with dinner?
NETWORTH	A billionaire has a big one
NITRO	Part of TNT
IRS	Return address letters?
EEL	Slipperiness exemplar
MFA	Deg. from Parsons, perhaps
MRHYDE	One subject of a "Strange Case" in literature
FOREANDDAFT	What a nutty golfer calls/is called?
OLA	Suffix with schnozz
ANDERS	Thermometer developer Celsius
DEBT	Result of some sprees
DRS	Shrinks, e.g.: Abbr.
ERIN	Seán O'Faoláin's "Come Back to ___"
BONA	___ gratia (in all kindness): Lat.
ESPO	Bruin Phil, affectionately
SNOWANDDICE	Two things found at an Alaska casino?
PARE	Trim
OPED	Kind of page
SRO	Like a transient's qtrs., maybe
SPEAR	Lance
BOWANDDARROW	Noted lawyer with the "It" Girl?
BSA	Grp. that holds Blue and Gold Banquets
OEN	Wine: Prefix
DRAT	"Phooey!"
DORA	"David Copperfield" woman
APSE	Basilica feature
SNAP	Jacket part
PHRASE	Couch
ASHEEP	Answer to the folk riddle "Over the hills, over the hills / Goes a fur coat"
DROPSINON	Visits
NRA	Strong D.C. lobby
ORE	Mesabi range find
EYESANDDEARS	What an optometrist at a kindergarten examines?
DAR	Patriotic org.
DOE	___-eyed
NARROWED	Contracted
ORIENT	Magi's home
ADAH	Wife of Esau
AORTAE	Vascular viae
TARA	Fictional Twelve Oaks neighbor
RENE	Painter Magritte
PRES	Penn. Ave. resident
PARAFFIN	Waterproofing material for paper
MUCH	Considerably
MAKEDO	Eke out a living
UNI	Place of higher education, in slang
CAN	Positive thinker's word
INKS	Finalizes, as a deal
KIDMAN	"Moulin Rouge" actress
STIED	Put in a 97-Across
DELA	Oscar ___ Renta
LEV	O.T. book
ESPANA	Where the Tajo and Ebro flow
ETTA	Henri feminizer
SHIN	Something not to kick
PEND	Remain undecided
EDIT	Cut and paste, e.g.
REDPERCH	Rosefish by another name
RAJA	Indian royal
EVES	Temporal brinks
CLIO	History Muse
HERO	Subway fare?
THEKINGANDDI	Princess plus Elvis?
GOI	"There but for the grace of God ___"
ANN	A Beattie
AVA	Gregory's "On the Beach" co-star
VALENTINE	Heart recipient
NED	A Beatty
ONTIME	Welcome words at La Guardia
JEFF	Auto racer Gordon
FOSSILS	Fogies
FIREANDDRAIN	Concerns of a safety sprinkler system?
RIBCAGE	Thoracic structure
ADORNED	Trimmed
CAD	Bounder
ASTO	Regarding
FOOD	Kind of chain
OID	Human's tail?
PEN	Pork place
PETITE	Small
SKI	Item on a chairlift
KATEY	Peg Bundy portrayer ___ Sagal
EON	Extended period
ENROL	Register
ODIN	Husband of Frigg
NYE	Bill ___, the Science Guy
BOCCE	Ball game
CODES	Computer programmers' expertise
CUD	Something to chew on
AMOSANDDANDY	Cookie man with a Yankee Doodle?
AHEM	Coughlike utterance
MAXI	It's long on models
OBIS	Sashes
DCON	Rodenticide name
DUNE	See 9-Across
ARIA	"Willow Song," e.g.
CROUTONS	Caesar salad ingredients
OVAL	Race site
NECK	Crick site
SSTS	Boom makers, for short
HABIT	Something to kick
CURRIERANDDIVES	Story of a leather worker who goes to seedy bars?
RAM	Zodiac figure
EXILE	Banish
ONION	Gibson garnish
AGEE	Tommie in Mets history
TACT	Remaining silent, sometimes
MISSY	Girl
NEAL	Broten of hockey fame
MEDS	Some are O.T.C.
ELKS	Civic group
