HAVENTWEMET	Party line?
HOWARD	Washington, D.C., university
ANAHEIM	2002 World Series locale
VERANDA	Place for a wicker chair
EMT	Possible defib performer
NOSY	Too interested
TRAIN	Wedding trailer
WENNER	Rock and Roll Hall of Fame co-founder and inductee
ETD	Station abbr.
MIA	Gone but not forgotten: Abbr.
EMLY	"Little" girl in "David Copperfield"
TELEX	Obsolete communication
GST	Standard setting at 0° long.
GESSOES	Plaster preparations
SPATULA	Grilling aid
TINYTIM	Novelty singer born Herbert Khaury
ONEMORETIME	Over
EPI	Over: Prefix
WARTSANDALL	As is
SAN	Burmese opposition leader Aung ___ Suu Kyi
AHA	Recognition response
YIN	Feminine side
YEASTY	Causing a rise?
ADHERETO	Follow
REND	Shred
DOGGONED	Blamed
NEMO	"The League of Extraordinary Gentlemen" captain
MOURNED	Sat shiva, say
OMNI	Hotel chain
XDOUT	Double crossed?
DIDOS	Pranks
SEAR	Brand
ROMA	Massenet opera
ACTS	Isn't idle
HELI	Prefix with pad
MAGEE	Patrick ___, 1966 Tony winner for "Marat/Sade"
EGGO	Brand kept near a toaster
UNCLESAM	Finger-pointer
LEES	Remains
GAGWRITER	Producer of funny pages?
WAWA	Guitar effect
JPMORGAN	Man of steel
JAMPACK	Really fill
PRIORTO	Preceding
MANNERS	Good things to bring to the table
SEEMS	Could possibly be
MUNDANE	Household
SNEERER	Snob, maybe
ARAN	___ Islands, west of Ireland
OWES	Is short
SEERED	Steam
STUNS	Rocks
SATYRS	Butterflies with eyespots on their wings
MINES	Brings up, in a way
SERBS	Rulers of the Nemanjic dynasty, e.g.
ADEE	Chick follower
EXTRA	Bit of gravy
ONEA	Fit to serve
PONDER	Weigh
ROLL	Take a turn, in some games
EXS	George Strait's "All My ___ Live in Texas"
SPUN	Took a turn, in some games
DET	Lead investigator?: Abbr.
ARE	Son: Spanish :: ___ : English
ROBERTPEARY	Admiral who went to an extreme?
BAA	Something heard in a herd
EDM	Teacher's deg.
ENC	Ltr. accompanier
CTR	HQ
BLADERUNNER	Movie based on the book "Do Androids Dream of Electric Sheep?"
KOS	Floors
SLAMDANCERS	Concertgoers getting into the hits?
