ROTC	Org. known for drilling?
RAPT	Enthralled
OSLO	Munch Museum's locale
TEUT	German: Abbr.
CAMEL	Certain cigarette
KNOT	Masseur's target
KATMANDU	Capital of Nepal
NCR	Big name in A.T.M.'s
ONE	Single
TEES	Ball supporters
SAGAS	Soap operas, essentially
SPAMS	Sends cyberjunk
ALLINALL	Everything considered
GAGA	Lady ___
ATEM	"Lemme ___!"
SERB	Balkan native
ASEA	Offshore
ACNE	What adolescents may fight
PLATE	Bit of dental work
PLUMBTREE	Where lead weights grow?
BROCADE	Wedding gown fabric
ALGER	Horatio who wrote about down-and-out boys
TOTERM	How babies may be carried
SAMIAMB	Bit of a Coleridge poetry line?
ASS	Long-eared farm animal
LOAFS	Takes it easy
FORMAT	Layout
STABLES	Equine areas
SSN	Nine-digit ID
LLD	Harvard degree earned by J.F.K. in 1956
LADES	Works as a stevedore
LAURA	Object of Petrarch's passion
DAMNS	Curses
CNOTES	10 of them make a thou
EWBANK	Only coach to win both N.F.L. and A.F.L. championships
ABBA	"Take a Chance on Me" group
BEEPS	Prompts on answering machines
BATIK	Hand-dyed fabric
ASSAY	Analyze
AAA	Little battery
ADRAW	"Let's call it ___" ("We're even")
PLEAS	S O S's, essentially
PLASTER	Bandage, across the pond
DUMBDUMBBULLETS	Ammo for idiots?
BISCUITS	Dog treats
UNTIMELY	Not expected
ERNIE	Bert's "Sesame Street" buddy
ALANA	Actress Stewart
PIA	___ mater (brain cover)
SASS	Cheeky chatter
STENTS	Surgical inserts
SUE	Take to court
SKY	What's up?
CLU	Gulager of "The Virginian"
LINUS	"Peanuts" boy with a blanket
SKITS	"Saturday Night Live" segments
SAJAK	Pat of "Wheel of Fortune"
BEQUIET	"Shut up!" ... or a phonetic hint to this puzzle's theme
BLEW	Muffed
EIRE	Homeland of Joyce and Yeats
QEII	Helen Mirren's crowning role, informally?
TPKE	It takes a toll: Abbr.
MEANIE	No-good sort
NASA	Astronaut's letters
IMIT	Cry during a recess game
EBAY	Web site with a "Buy It Now" option
LIEIN	___ wait
PAPERJAMB	Toy house door support?
AID	Help
PEG	Accurate throw
ERITU	Verdi aria
KIEL	German port
ASIA	___ Minor
WEISS	"Marat/Sade" playwright Peter
EDGY	Pushing the envelope
KATY	Singer Perry with the 2010 #1 hit "California Gurls"
