SPEWS	Gushes forth
SODS	Adds turf to
PLOT	Whodunit's essence
ELLE	Model Macpherson
WILLS	Estate papers
SEALER	Driveway gunk
CASH	The "C" of COD
CAB	Hack's vehicle
ARID	Like the Gobi
SELES	Monica of tennis
HALLEY	__'s Comet
MESS	Boot camp fare
MAO	__ Zedong
ERASE	Wipe clean
SIREN	Raid alert
SADAT	Egypt's Anwar
OLLIE	Pal of Kukla and Fran
AREA	Carpet layer's calculation
ARIA	Diva's delivery
DOLLARBILLBOARD	Cheap ad space?
RAWBAR	Place to get oysters or clams
BARACK	Obama of Illinois
STELLA	"A Streetcar Named Desire" woman
DELA	Oscar __ Renta
SEA	Poseidon's domain
SEWN	Mended
NINJA	Japanese assassin
SERPENT	Garden of Eden tempter
PRONG	Antler part
MGB	Classic British sports car
MALE	Tom or drake
GLUM	Bummed out
BOMB	Zero-star movie
RBIS	Batters' stats
STAGE	Thespian's place
YAR	Yevtushenko's "Babi __"
ALOE	Natural emollient
EBERT	Thumb-raising film critic
ANTS	Bugs in colonies
SCRAP	Toss out
COPAY	One's share of a medical bill, maybe
PINT	Ale measure
AFAR	Way, way off
YETI	Hairy Himalayan
LUMBERJACKKNIFE	Inefficient tool for felling trees?
EDITOR	Masthead title
KARATE	A martial art
EMBED	Plant deeply
AGRA	Taj Mahal site
GNAT	Pesky swarmer
RIP	Tombstone letters
PERILS	Pauline's problems
EARP	Tombstone lawman Wyatt
PRESET	Radio button
TRI	Prefix with angle or pod
SPITTER	Soggy, and illegal, pitch
SUGAR	Coffee add-in
PRICY	On the expensive side
INNIE	Lint-collecting navel
RECAP	Postgame show
PART	Go separate ways
TASER	Stun gun
URN	Java dispenser
OREO	Twistable cookie
OHNO	"This can't be!"
TEASES	Makes fun of
SERA	Blood fluids
ERIC	Actor Stoltz
STET	Proofreader's "keep it"
GINGRICHDESSERT	Course at a luncheon hosted by former Speaker Newt?
GDS	Mdse.
DET	The Tigers, on scoreboards
ACID	Battery fluid
LANE	Lois of the Daily Planet
EERIE	Like Poe tales
RYES	Deli loaves
SPOT	Tough situation
TRACT	Piece of land
