EDGE	Defeat, barely
ECCO	Shoe company founded in Denmark
DARN	"Phooey!"
GROT	Small cavern, in poetry
EBWHITE	"The Elements of Style" updater
TIPS	Word on a bar worker's jar
TAURUS	Sign after Aries
IMLOST	"Please help me with directions!"
PIECE	Jigsaw puzzle element
SEEK	Be "it," in a game
JEWEL	Gem
JAM	Wing it, musically
ELOPES	Skips the dos before the I do's?
WITHATWIST	O. Henry's 37-Across order?
EVIAN	Aquafina rival
LEFTS	Some turns and boxing punches
CARB	Pasta or potato, for short
AMIE	Savoie sweetheart
ALIVE	Still in the game
CROW	Brag
ULEE	Beekeeper played by Peter Fonda
MOTIF	Recurring melody
ONTHEROCKS	Tiger and Elin Woods's 37-Across order?
ENE	Opposite WSW
SOLON	Wise old Athenian
PHAT	Super, slangily
INUSE	Sign on a locked lavatory
OCEANS	Vast amounts
CALI	City known as Colombia's sports capital
EYETEST	It might start "E FP TOZ LPED"
ELAN	Pizazz
YUGO	"Car Talk" dubbed it "the worst car of the millennium"
EXTRAOLIVE	Popeye's 37-Across order?
BLAST	Party that's a wow
BOI	Avril Lavigne's "Sk8er ___"
LUXE	Posh
FOOL	One pitied by Mr. T
FTC	Consumer protection agcy.
WOP	Doo-___ music
OKRA	Vegetable in Cajun cuisine
PEPS	Livens, with "up"
AGT	Actor's rep: Abbr.
MARTINI	Cocktail called "the elixir of quietude" by 4-Down
MELT	Cheesy sandwich
AMASS	Collect
RAS	Dorm figures, for short
IKE	1950s campaign nickname
NOR	___'easter
EMAC	Apple originally marketed to schools
MSRP	New car sticker fig.
MOSHPIT	Frenzied place at a rock club
ATLAS	Figure of Greek myth with a statue at Rockefeller Center
TIVOED	Recorded for later viewing
DAKOTAS	1889 statehood achievers, with "the"
DIABLO	Cisco Kid's horse
ALIENS	"The X-Files" figures
KEG	Big beer buy
QUOITS	Ringtoss game
QUAFF	Hearty drink
UNDER	Hypnotized or anesthetized
MILES	A marathon has about 26 of these
MRBIG	Head honcho
UNLV	Runnin' Rebels' sch.
STRAIGHTUP	Paula Abdul's 37-Across order?
TAKE	Help oneself to
TERI	Garr of "Tootsie"
UDON	Noodles with tempura
PINK	Medium-rare steak color
ADIOS	"Later, amigo!"
SRO	B'way success sign
ABBE	French cleric
PEDI	Foot: Prefix
FEVER	It's not good to run one
KILN	Potter's oven
IRON	Mineral in hemoglobin
FREDO	The hapless Corleone
EGOS	Things that modest people lack
TINK	"Peter Pan" fairy, for short
