SOFA	Company seat?
SAHL	Comic who declared "I'm not a liberal, I'm a radical!"
ODEA	Classic theaters
FARM	Raise things
AMOEBA	One that lives in a single cell?
LABS	School science rooms
LASHER	1993 Anne Rice novel
AWARD	Star or cross
BONO	Pro ___
SLEW	Large number
TALES	They can be spun
TERRENE	Earthly
AVE	City map abbr.
LEACOLLARS	What bells on sheep are attached to?
ENDED	Done
STYLE	Do, as of hair
ADAM	First among men
AWOL	Object of a search, maybe
EVENT	Fete, e.g.
HERO	Batman or Superman
SANE	Logical
READY	Set
LAMETHROWER	Injured pitcher?
TRI	Angular head?
EDITS	Cuts a film
CEL	Animation unit
BRED	Brought up
DECODE	Crack
CAFE	Starbucks, for one
ECLAIR	French pastry
ERIQ	"ER" actor La Salle
CHOU	800-year Chinese dynasty
LOWERPOWER	Energy-saving mode?
SPINAL	In a cord?
STONY	Like some hard-to-plow land
PASS	Bridge call
RHO	Fraternity letter
STATEFLAG	36-Across's has a bald eagle
SLOT	One-armed bandit
AREA	Bailiwick
GNAW	Work on a bone, say
IOWA	For Minnesotans, it's south of the border
ASEA	Off on a cruise
FLOSS	Dentist's advice … or a hint to 20-Across, 51-Across, 11-Down and 29-Down
FILLY	Young, frisky one
EARN	Make
QUESTIONS	They're often raised
TALLEST	Guinness Book category
REA	New Deal inits.
REALTY	Lots
JIGSAW	Puzzle solved without pen or pencil
JELLED	Came together
IRE	Choler
GOSPEL	God's honest truth
APPALL	Fill with disgust
ASHOT	Give ___ in the arm
PLANA	Preferred course of action
AERO	Prefix with magnetic
AGILE	Quick-footed
SLO	___-mo
LYINGLESSON	Class for an aspiring poker player?
ISMS	Systems of principles
NAIL	Perform perfectly
SERA	Some infusions
OPRY	Grand Ole ___
NESS	Crime-fighter of TV and film
HAWSE	Ship's anchor hole
SAO	___ Luís, Brazil
SAIL	Wind catcher
PEPE	Cartoon skunk, to amis
ONEAS	Prime targets for the draft
MILE	Kind of marker
ERRS	Misses the mark
TAROT	Divination means
SLED	Runner's place
LAYS	Ballads
