MASS	Body measurement
MEMOPAD	Place for notes
AMILATE	"Have you started without me?"
SILENTB	One in debt?
STAGGER	Make zigzag
BFLATMAJOR	Key of Schumann's "Spring" Symphony
BALLADEER	One putting a tale in the air?
FREEGIFT	Product recipient's surprise
LEAVENS	Gets a rise out of?
AWNING	Shade provider
TENET	Position
MARS	Rover's home
ALI	Pakistani president Asif ___ Zardari
JOMARCH	Literary tomboy
ONEMORE	Last-call request
RESIDED	Was present (in)
EMIT	Throw off
AREWEALONE	Exobiologist's query
MILA	Actress Kunis of "That '70s Show"
LEANNRIMES	First country singer to win the Best New Artist Grammy
OLEG	Cosmonaut Makarov
LEVIES	Imposes
AMI	Guy's buddy
PANG	Bit of guilt, say
AGENT	Gig getter, often
BROD	Kafka confidant Max
BUS	31-Across alternative
ATTENDING	Present
NIMOY	Player of a logical crew member
SUCRE	Capital near Potosí
SABRA	Negev native, e.g.
DEBRIEFS	Questions about a flight, say
CASHED	Redeemed
CATPERSON	Ailurophile
MET	Mr. ___ (baseball mascot)
CAB	One in line at a station
CONCERTO	Glass production
STUPOR	Result of great shock
SPECTRA	Bands appearing after split-ups?
TINFOIL	Cheap hat material
UNICODE	Ascii alternative
PED	One may look both ways, briefly
POTROAST	Chuck is often chosen for it
PUNGENT	Nose-wrinkling
ORBITER	NASA launch
ALLMALE	Like some risqué revues
SOUPCAN	Andy Warhol subject
TRESTLE	Sawhorse, e.g.
PINEY	Like some cleaning products
SUNPARLOR	House part that gets flooded on a clear day?
SANDIA	New Mexico's ___ Mountains
ENID	"Idylls of the King" woman
DANCE	After-hours school event
DIRGE	Passing notes?
BLUE	Down
CFC	Ozone hazard, for short
ZINGER	"Touché!" elicitor
ZONK	Fall into a 32-Across, with "out"
IMPS	Terrors
TOOKORDERS	Was subservient
KIX	Puffed product since 1937
TACT	Mediation asset
RIDINGINTO	Entering on horseback
ELAL	It's grounded on Friday nights
ALEXKEATON	Young Republican of a 1980s sitcom
RENE	___ Caovilla, maker of high-end women's shoes
