BITE	Nosh
BALE	Unit of cotton
IMAX	Supersized movie screen format
TEMP	Short-term worker, for short
EXPLOIT	Take advantage of
ESTH	Only O.T. book that never mentions God: Abbr.
ESPIED	Spotted
SOFTG	Start of either syllable in "ginger"
TLC	An attentive doc gives it to a patient
HOSP	Doctor's place: Abbr.
SPRAT	Jack who could eat no fat
SPEEDO	Swimwear brand
PRESENT	Show, in a show-and-tell
RELET	Lease to a new tenant
AGENT	15-percenter
TORTE	Rich cake
AMEX	Certain charge card, informally
SOLO	Aria, typically
PREGO	Ragú rival
LAMP	Tiffany creation
PFCS	Ones ranking below cpls.
EELER	Conger catcher
EXPLOIT	Bit of derring-do
OMNIA	___ vincit amor
PRESENT	Here and now
ROLLS	Status symbol car, familiarly
OMEGA	Alpha's opposite
ADDRESS	Prepare to drive, as a golf ball
ODETTE	"Swan Lake" swan
REWIND	Put the tape back to the start
RAHM	Obama adviser Emanuel
EMMA	Austen novel
WASH	Get the grime off
DELON	French actor Alain
EYED	Gave the once-over
AMATI	Cremona craftsman
IDYL	Pastoral poem
IDEA	Invention starter
TRAP	Big mouth, slangily
REUP	Sign on for another tour
ANTE	A chip or two to start with
PLED	Said "Not guilty!," e.g.
HMS	___ Pinafore
ADDRESS	Lincoln's famous one was just 272 words
DRAMS	Small amounts
SALON	Permanent provider
ENL	Photo blowup: Abbr.
MAHI	When doubled, a food fish
INCENSE	Make boiling mad
REED	Oboe or clarinet
ACUTE	Less than 90 degrees
CONSOLE	Say "There, there" to, say
NCAAS	Big tournaments for university teams, informally
CONDOR	Flier with a 10-foot wingspan
ELOPED	Fled to wed
EXOTIC	Wonderfully foreign
VIACOM	Nickelodeon's parent company
VIGGO	"The Road" star Mortensen
INLET	Fjord, e.g.
ACAST	"With ___ of thousands!" (movie ad boast)
SAXON	Anglo-___
ACIDS	They turn litmus paper red
INCENSE	Aromatic sticks
EDAM	Cheese with a red coat
CONSOLE	Home entertainment centerpiece
OVAL	Ellipsoid
LESS	Minus
ERTE	Art Deco artist
GLAND	Producer of sweat and tears, but not blood
DOIT	"Go ahead!"
OUI	Non's opposite
OVER	Done
GESSO	Painting surface
AUDI	Auto on the autobahn
LAST	In the cellar
OTTER	Web-footed mammal
MISC	Catchall abbreviation
ELSE	"What ___?"
