POEM	Limerick or sonnet
PAP	Soft food for babies
OLES	Cheers at a fútbol match
EARP	Dodge City lawman Wyatt
MIKEMYERS	Portrayer of Austin Powers, "international man of mystery"
HUSH	"Shut yo' mouth!"
HAMITUP	Chew the scenery
URIAH	Dickens's ___ Heep
SILL	Spot for a pot
HALF	Two quarters
SPIEL	Sales talk
SPARSE	Few and far between
PINCH	Tiny bit of salt
INGE	William who wrote "The Dark at the Top of the Stairs"
EKES	Manages, with "out"
LOL	Twitter titter
ALAI	Jai ___
ARIA	Solo for Pavarotti
PINKO	Commie
PERK	Use of a corporate jet, say
MILL	Pepper grinder
ANGEL	Heavenly harp player
SPECIALFORCES	Green Berets
COORS	Operator of the largest brewery facility in the world
OATH	"Ye gods!," for one
MOTH	Pest attracted to light
ASH	Volcanic spew
AREYOU	Words before serious, ready or listening
AFROS	Hairstyles of Sly and the Family Stone
REEDS	Swamp plants
EVADE	Escape, as arrest
SATE	Fill all the way
STEVE	Jobs in Silicon Valley
ACME	Pinnacle
NBC	The Peacock Network
NONOS	Forbidden acts
BRETT	QB Favre
CASES	Assignments for Sam Spade
FEVERPITCH	Frenzied state
IRIS	Colored part of the eye
CORA	Mrs. Dithers in "Blondie"
COMEAGAIN	"Say what?"
REARS	Brings up
REM	"Everybody Hurts" band
JONES	Revolutionary War hero John Paul ___
JETLI	Martial arts champion-turned-film star
ODDS	Las Vegas figures
LIVEREMOTE	Out-of-studio TV broadcast
LAIR	Lion's home
RAINOUT	Certain game cancellation
SSE	Opposite of NNW
BASE	First, second, third or home
BRUNEI	Pacific sultanate
ATESTS	Nuclear experiments, for short
SRI	___ Lanka
STAID	Unflashy
GILA	___ monster
GYROS	Pita sandwiches
SATURDAYNIGHT	Popular date time ... or a phrase that can precede the starts of 20-, 33- and 40-Across
SURE	"My pleasure!"
ANTI	Prefix with knock
DEAR	"___ Abby"
ABLE	Up to the task
HIDE	Enroll in a witness protection program, say
TREE	Apple or maple
HUNAN	Chinese province where Mao was born
HAH	"When pigs fly!"
EBRO	Spain's longest river
AIRS	Hoity-toity manners
SAD	Down in the dumps
ARTIE	Bandleader Shaw
ALOU	Jesus of the 1960s Giants
IDEA	It's just a thought
HEIDI	"Project Runway" host Klum
REST	Take a breather
NEED	Requirement
