MORTARANDPESTLE	Drug combination?
MACHINEWASHABLE	Not taken to the cleaners?
OVOIDAL	Not perfectly round
RESPOND	Come back
TNT	Major downer?
AGIO	Money-changer's profit
RENDS	Splits
ARGONNE	W.W. I battle locale near the Belgian border
DOSIDOS	Hoedown moves
PRIZE	It may be received after sweeping
EDGE	Sedative target, with "the"
SEN	Beltway fig.
TRILLIN	Longtime columnist for The Nation
LINEONE	Phone system starting point
ENGAGEMENTSTONE	One set for a future wedding?
AVENGER	Many a vigilante
ORDERIN	Call for dishes
COSTING	Going for
SIGNING	Unspoken language
HIP	Not in the dark
ODORIZE	Scent
RIC	Pro wrestler Flair
LEA	River that meets the Thames at London
IDOL	Very hot star
LOUREED	"Walk on the Wild Side" singer
SNIDE	Insinuating
SLOG	No walk in the park
SPINETS	Upright relatives
NANOS	Players that replaced Minis
SQUAD	Platoon part
NCO	Base pay recipient?: Abbr.
SPINE	Title holder
SEALS	They make lasting impressions
ELDUQUE	Pitcher Orlando Hernández's nickname
UNC	Family moniker
STEINEM	Undercover Playboy bunny of 1963
TIN	Roofing material
RUN	Continuous series
IAN	"Lost" Emmy nominee Henry ___ Cusick
ATPEACE	Sans strife
THEREIN	Legalese adverb
PIERCED	Like some navels
ELANTRA	Hyundai model
UNLEARN	Break, as a habit
UNDERGO	Bear
ARSENIO	First name in late-night talk, once
RATATAT	Automatic sound
SHIED	Started
LON	___ Morris College, in Jacksonville, Tex.
OUI	Réponse affirmative
STRAT	Electric guitar model, familiarly
HEED	Mind
LAUDE	Praise for Nero?
LATEN	Round midnight?
ELIHU	Root of law
SSTS	Bygone boomers
ARR	Gate info: Abbr.
DANIELS	Bebe who co-starred in "The Maltese Falcon," 1931
DEVO	Band that famously remade "Satisfaction" on its first album
SPAR	Work to help one get 57-Down
EAT	Act on a primal urge
BECKETT	"Krapp's Last Tape" playwright
KOS	See 54-Down
RIPINTO	Chew out
INN	Night spot
LIEOVER	Be postponed
GHANIAN	Dweller along Lake Volta
ENDSONASOURNOTE	Doesn't get wrapped up well?
