TWOS	Double dates
TARSAL	Of the ankle
WRITHE	Squirm
ONLOAN	Out, at the library
SEER	One who gets what's coming
ROTOS	Old newspaper sections
RANDI	Actress Oakes of "CHiPs"
ODORS	Kitchens have them
TUBAL	Like some pregnancies
OLLIE	Football Hall-of-Famer Matson
STEN	1930's Goldwyn star Anna
EDAM	Something to nibble on with Beaujolais
EUR	It now has a Union: Abbr.
DRUNKARD	Soak
ASNEEDED	Painkiller dosage phrase
MATTRESS	Sleep on it
ARNE	"Alfred" and "Judith" composer
ADULT	Grown
URSA	___ Minor
RILE	Agitate
NOBLE	Lofty
RUNT	Pipsqueak
STORMDRAINS	"Flood cleanup wears me out!"
MAXI	Long, for short
SLAT	Louver part
NET	Line on an invoice
AHA	"Gotcha!"
AISLE	Bridal path
LAKER	Wilt Chamberlain was one
ARIOSO	Certain vocal part
LENOX	Big name in fine china
OBEYER	Submissive type
PARADE	Strut
PERU	It borders the state of Amazonas
BICYCLETIRES	"Health club exercise is so boring!"
CLAY	Kind of pot
YET	Still
CHI	Greek antepenultimate
LAG	Stay behind
MOSE	Jazzman Allison
MASSEUSE	She kneads people
ORPHANED	Left alone
SMEARING	Campaign dirty tricks
LEHAR	Franz of operetta fame
ODDS	Tout's concern
ARMYFATIGUES	"Military service leaves me pooped!"
FDIC	Money guarantor, for short
ELSA	Designer Schiaparelli
SPEEDY	Zip-zip
LOVES	Sweethearts
VISINE	Blur remover
ENTIRE	Complete
SASSED	Got smart with
SHARI	Lamb Chop enlivener Lewis
PRESS	Phone menu imperative
PRIZE	Cup or purse
REMUS	Twin of myth
EXERT	Put forth, in a way
SHOES	They may be tapped for the stage
INA	___ sense
EAR	One sense, figuratively
CAREXHAUSTS	"Driving takes away all your energy!"
AMAT	Third in a Latin recital
URIS	"Trinity" novelist
UNIS	As one, at Orly
STY	What a mess!
MIMEO	Old-style copier
RIIS	Reformer Jacob
SENT	Ordered to go
AZURE	Pretty blue
INRE	Memo starter
EDGY	Irritable
TESTS	Battery components?
SEED	Kind of money
