HOPI	Navajo's neighbor in Arizona
HOSED	Cleaned with water, as a sidewalk
OVINE	Sheeplike
PANDABEARS	Adorable zoo critters from China
ILE	Suffix with percent
SCOT	Edinburgh native
SEPIA	Tone of many old photos
COAST	Where a hurricane makes landfall
ONCE	___ in a blue moon
TSK	"For shame!"
FLAW	Defect
FRINGE	Outer edge
LOGS	Hearth contents
ASHE	U.S. tennis legend on a 37¢ stamp
WATT	The "W" of kWh
OVALS	Racetrack shapes
SWAHILI	Widespread language of East Africa
EONS	Many millennia
ROSA	Parks who received the Presidential Medal of Freedom
SINEW	Tendon
PACKLIGHT	Common advice to travelers
LOUD	Earsplitting
END	Terminus
ANISE	Seed with a licoricelike flavor
NET	Ping-Pong table divider
ONSET	Beginning
DEADHEAT	Race that finishes in a tie
DALY	Tyne of "Cagney & Lacey"
HUG	Warm embrace
HOST	Party giver
BAIT	Worms, to a fisherman
MODELTS	Early Fords that "put America on wheels"
MRIS	CT scan alternatives
LYINGAWAKE	Suffering from insomnia
TORT	Wrong that's adjudicated in court
SUES	Takes to court
SPELL	Say "C-A-T" or "D-O-G," e.g.
SPCA	Org. for cat and dog lovers
PLAT	Builder's map
OARS	Boathouse gear
OGLE	Look at lustfully
AWL	Hole-making tool
YOU	"___ don't say!"
PLAYINGWITHFIRE	Doing something risky ... or a hint to the last words of 18-, 24-, 49- and 58-Across
NIKE	Athletics brand with a swoosh
HALFDAY	9:00 a.m. to 12:30 p.m., say, for a worker
FUEL	Gasoline or peat
CAR	Avis or Alamo offering
ILLS	Misfortunes
AUNTS	Uncles' mates
ATSTAKE	Being risked, as in a bet
TIDYUP	Neaten
ACES	Unreturned tennis serves
OLEG	Cassini of fashion
ODE	Keats's "___ to Psyche"
ICE	Cubes from the freezer
OLDFLAME	Bygone love interest
ONKEY	Not sharp or flat
LEEDS	Textile city of north-central England
MANES	Grooms comb them
EXALT	Praise mightily
SPADE	Digging tool
SHUL	Place for a bar mitzvah service
PORE	Skin opening
ALDA	Alan of "M*A*S*H"
KNEED	Weak-___ (easily intimidated)
KOOK	Nutcase
WAX	Candlemaking supply
HOLYSMOKE	"Omigosh!"
MCS	Introducers of a show's acts, e.g.
AMANA	Oven brand
MOB	"The Godfather" crowd, with "the"
URDU	Language of Pakistan
COED	What Yale became in 1969
YOKEL	Hayseed
LEAP	Vault (over)
SKYS	"The ___ the limit"
BEST	Crème de la crème
