CAST	Calculate astrologically
CAPP	Comics fellow who hangs out in a pub
ACRE	Piece of property
STOP	Sign on the corner
TAMP	Pack down
ADAMS	Smart player
AFFRAY	Brawl
DROWN	Soak
AARE	Alpine river
MIMI	"La Bohème" heroine
SLAG	Smeltery refuse
DAZE	Stupefy
DOCTOR	Person who's been given the third degree?
AKA	Blotter letters
ZAP	Microwave
EYE	Real looker
ACTA	Recorded proceedings
FRAIL	Easily broken
OKAY	Rubber-stamp
PROM	May dance, maybe
FORMA	Pro follower
CAPE	___ Horn
PEPPERWEIGHT	Desk item that's nothing to sneeze at?
ESTER	Aromatic compound
HBO	TNT alternative
SAN	Japanese honorific
BOSCS	Bartlett relatives
SMEARS	Sullies
CARRIE	1976 film featuring telekinesis
SLAYER	Buffy is one
CAVITY	Hollow
CAPOTE	"Breakfast at Tiffany's" author
ARENAS	Action centers
VOTERS	Electorate
ISE	Expert ending
ABNORMAL	Eccentric
ALLIN	Fagged
BILE	Nasty comments
NEE	Wedding page word
AROSE	Originated
PLIE	Ballet movement
POLO	Ralph Lauren brand
ERA	Stat that's good when under 3.00
PETERPOLLENMARY	Folk group that's nothing to sneeze at?
PIG	Kind of iron
NEEDS	What alimony covers, minimally
MEA	___ culpa
ONE	Wee hour
ILIE	Netman Nastase
EERIE	Chilling
TARRAGON	Vinegar flavoring
REELED	Staggered
ANI	Singer DiFranco
TEASER	Tricky problem
TASSEL	Dangler
ESSEN	Krupp works city
BAD	Deserving a spanking
BITTE	Please, abroad
EIGHTISSNUFF	70's-80's show that's nothing to sneeze at?
GRAM	15.432 grains
HOBO	Odd jobs doer
TOAD	Loathsome one
NOSH	Bag of chips, maybe
UGLY	Unappealing
FLOP	Lay an egg
FETE	It may be an honor
JAIL	Corner after "GO"
JAW	Shoot the breeze
AXE	Let go
ILL	Laid up
ROOTS	1976 best seller that starts in Gambia
OGLE	Lust after, visually
AXLE	Differential attachment
ABATE	Slacken
SLOT	Job opening
WELD	Join of arc?
MODEL	Work with clay
HYPE	Big buildup
