CURTIN	Mrs. Loopner player
COPS	Police
UPIN	___ arms
REAL	Genuine
TNN	Old cable TV inits.
IBISES	Nile birds
NASTY	Foul
READSTO	Tells a bedtime story
RADNER	Ms. Roseanne Roseannadanna player
EYEON	Keep an ___ (watch)
AKC	Dog breeder's assn.
DROP	Withdraw from, as a case
SODA	Kind of water
TYES	Sailing ropes
ODDS	Bookie's figure
OPENBAR	Free drinks set-up
RTE	Hwy.
AYKROYD	Mr. Blues player
PIANIST	Tickler of the ivories
DECODED	Figured out, as secret writing
SNL	Show that debuted 10/11/1975, for short
STERNO	Buffet table heater
RESEMBLED	Looked like
PASS	Hail Mary, e.g.
REY	King, in Cádiz
RESEED	Tend to, as a barren lawn
EEN	Bard's nightfall
JADES	Wearies
JULEP	Kentucky Derby drink
ANIMA	True inner self
DIVER	Springboard performer
ISR	Syr. neighbor
IDO	Phrase of commitment
CHASE	Weekend Update anchor
COW	Intimidate
HEYDAY	The best of times
AFOOT	Under way
SURGE	Power glitch
ELKES	Actress Sommer and others
UNIS	Les États-___
ODE	Literary piece
ORS	Surgeon's locales, quickly
WOEFUL	Wretched
WET	Dripping
LIVEFROMNEWYORK	Longstanding 19-Across opener
FRO	To and ___
NAB	Collar
EMEERS	Kuwaiti leaders: Var.
BAT	Take a swing
DOGE	Old Venetian official
PARDO	Announcer for 19-Across
MLB	Org. for Mariners
MORRIS	Mr. Escuela player
FATES	Lachesis and Clotho, in myth
FELINE	Catlike
HOE	Ground breaker
HOOHA	Big to-do
BEY	Ottoman ruler
BARON	Von Richthofen's title
ROTC	University mil. group
RIBS	Barbecue fare
ONEI	R.E.M.'s "The ___ Love"
TELE	Prefix with conference
CRUS	Vineyards of high quality
ORDEAL	Terrible trial
ETH	Biblical suffix
NBC	Network of 19-Across
NORM	Benchmark
BREA	La ___ Tar Pits
CORN	Foot ailment
INERROR	Mistakenly
RST	String after Q
TRIBORO	New York's ___ Bridge
BOW	Close a show
BELUSHI	Samurai tailor player
HONORER	Medal giver
SIESTAS	Naps, for señores
NEWMAN	Ms. Conehead player
