CLEAREDONESNAME	Was proven innocent
CHAR	Not just brown
LONE	Like a maverick
ESTS	Rough figs.
ATITSFINEST	Quintessentially
RIPSAWED	Cut along the grain
ELROY	Football Hall-of-Famer Hirsch
DEONS	Actor Richmond and singer Jackson
OTHO	Early Roman emperor
NAINA	Mrs. Boris Yeltsin
EKBERG	"La Dolce Vita" actress
SEISMO	Earth-shaking beginning?
NOTO	See 19-Across
AVIA	Reebok rival
MEOR	"Is it just ___ ..."
ERNS	Kite relatives
HOSTILETAKEOVER	Merger alternative
ANTIPROHIBITION	Drive to drink?
RESTSONONESOARS	Stops striving
SAYS	With 12-Down, turns down
ARM	Ready for assault
UFW	Agricultural labor grp.
UNABLE	Lacking the resources
GOFLAT	Become useless, as a 26-Down
FRIEDSHRIMP	Order at Long John Silver's
LETNOT	"___ your hearts faint": Deuteronomy 20:3
AFOUL	In a tangle
TIRE	Inflation target
DNIESTER	Ukraine/Moldova border river
DRLAO	Tony Randall title role
STP	Brake fluid brand
TOAT	Without flaws
ETRE	Soyons is a form of it
RAKE	Symbol of St. Barnabas, whose saint day comes at hay harvesting time
REFI	Debtor's option, briefly
GRANDTOTAL	It often includes tax
GEST	Daring exploit
LAN	PC connection
ITOR	"Do ___ else!"
ELBE	River through Dresden
PARKAVENUE	Where Citigroup and JPMorgan Chase are headquartered
VICEPRES	Firm cheese, for short?
SALS	Pizza joint in "Do the Right Thing"
TEENIDOL	Potential poster boy
TOETAP	Dancing technique
ABBEYS	Where brothers and sisters hang out
PHEDRE	1677 Racine tragedy
CST	New Orleans setting: Abbr.
BHA	Food preservative, briefly
ARFED	Issued pound notes?
ACEH	Banda ___ (2004 tsunami site)
AUVIN	Coq ___
CRORE	10 million rupees
OCTOBERSURPRISE	Bombshell revealed shortly before Election Day
OPEC	Grp. that rolls out the barrels?
CLAR	Woodwind instr.
TARO	Hawaiian staple
OYLS	Olive kin
SATO	Japanese Peace Nobelist of 1974
ITEA	Willow variety
SENT	Text message status
ESTH	Job preceder: Abbr.
PLAYEDFAVORITES	Didn't judge a group fairly
EARLYRETIREMENT	An employee may accept a package for one
CROSSEDONESPATH	Met a body
