SPONGEBOB	Squidward's neighbor on Nickelodeon
SHARE	Market purchase
POBOX	Numbered rental
ONEMOMENTPLEASE	Old company telephone line
NOVA	Cured and smoked salmon
GRIN	Use one's zygomatic muscles
ERGO	It follows that
BOO	Starting word
OLD	With 41-Across, one you go way back with
BLACKBEAUTY	Classic novel with a chapter titled "My Breaking In"
STAG	Do before I do's
SHUL	Holy Ark's location
TOSSINANDTURNIN	1961 #1 hit for Bobby Lewis
ANTIPASTO	First Italian course?
GESTATION	An elephant has a long one
HONORROLL	Academic goal, for some
SHONE	Did really well
SLOE	Astringent fruit
ABEVIGODA	Sal Tessio's portrayer in "The Godfather"
LUSTS	Is concupiscent
ROMANO	Parmesan alternative
COOLSIT	Chills
OLA	Rio "hello"
EXO	Skeletal opening?
ANKLE	Thing you don't want to twist
ATANIMPASSE	Stuck
NOT	Kidder's cry
IPA	Pronunciation guide std.
MANITOBA	Home of Riding Mountain National Park
ANGUS	MacGyver's first name on "MacGyver"
NETS	Safety equipment
ILE	Terre dans l'eau
ONAT	Go ___ some length
OHIOU	Athens sch.
CRENELATE	Furnish with battlements, as a castle
CHIPPEDIN	Helped out
RACIALISM	Bunker mentality?
KHASI	Language spoken in Assam, India
KENO	Game played with a sack called a goose
HANGTEN	Approach the shore on board?
ATEINTO	Corroded
TAY	Scotland's longest river
ICTUS	Recurring metrical beat
IGUANODON	Dinosaur with large thumb spikes
GPO	Ltr. center
PIPS	Trey trio
EMPTYOUT	Drain
EER	Ending with what, in verse
PAL	See 8-Down
SEPOY	Indian employed as a British soldier
STYE	Problem with a sebaceous gland
USE	It may be fair
SEEME	Words written on some test papers
ELWES	"The Cat's Meow" actor, 2001
ELECTRA	Wife of Pylades
CRUX	Core
PETREL	Antarctic dweller
PROT	Like Luther: Abbr.
ETAL	Name-dropper's abbr.?
TATA	Pre-takeoff cry?
DIARY	It's often kept under lock and key
STARTANEW	What you might do after failing
TAX	Good thing to be sheltered from
AMI	End of many riddles
ISSUE	Give out
SAMOATIME	Setting in Pago Pago
NMEX	Its motto in Eng. is "It grows as it goes"
EXITLANES	Things that turn people off?
