AWSHUCKS	Comment after a compliment
ACCUSE	Charge
WOOLEN	Like some caps
SPUMED	Spewed forth
HAR	Bit of feigned laughter
UPTO	See 54-Across
CLINT	Singer Black
KEEPONESHEAD	Not panic
SARALEE	Cake maker
SAMIAM	Dr. Seuss character
SOME	A smattering of
AVERS	Swears
MEN	Door sign
IRSAUDIT	Dodger's comeuppance?
ADAMBEDE	Eliot novel
MOLASSES	Slow flower
COPAPLEA	Try to get off easier, perhaps
OVERDO	Exaggerate
COURTIER	Rosencrantz or Guildenstern
MENSAL	Monthly
ULM	Einstein's birthplace
ONPAPER	Theoretically
PEERPRESSURE	A teen may succumb to it
AMA	Org. with an influential journal
SEEN	Not hidden
NUDNIKS	Bores
TOLE	Old lampshade material
STUBS	Used-up checkbook, perhaps
TITANIC	Mammoth
ENDUP	Result
PEI	Dallas City Hall designer
NEE	Originally
IDES	There are 12 in a year
DEBEERS	Big name in diamonds
BBS	Shot from an air rifle
SIP	Nurse
TIDE	Daily riser
HISNIBS	Mr. High-and-Mighty
HABANERA	"Carmen" highlight
ICEBOXES	Slammer isolation cells
STAYSPUT	Sits tight
PIRATES	Corsair crew
REL	Sem. study
ACTI	Opera opener
SHARPEN	Get to the point of?
ASSISTS	Hockey stat
BEAK	Kite part
ESE	Jargon suffix
LIPID	Cholesterol, e.g.
PAMELA	"Dallas" role
IMAGED	Painted a mental picture of
DECODE	Make sense of
ABYSM	Deep cavity
MASER	Electromagnetic wave amplifier
ASSN	Part of Nascar: Abbr.
NOPAR	Without face value
CAME	With 5-Down, approached
NOS	They may be real or imaginary: Abbr.
ADDISON	"Cato" playwright
DENS	Some holes in the ground
NEVE	"Scream" star Campbell
MAC	Brother
EXPOSE	Smoke out
OBE	Eng. award
SUPEREGO	Conscience
REN	Cartoon dog
REUBEN	Deli order
TRAVELED	Took unwanted steps
ASTERS	Relatives of sunflowers
SERENADE	A little night music
