MEGA	Prefix with bucks
MARCOS	Imelda, the shoe lover
ELAINE	"Seinfeld" gal
GIZARD	Giblets component
ATM	7-Eleven convenience
APP	iPhone user's purchase
AFTA	Shaving lotion brand
PEARS	Compote fruits
PUZLE	You're doing one
ADLIBS	Wings it
ADJOIN	Juxtapose
DEAR	Snookums
LTCOL	Maj.'s superior
IOU	Paper in a poker pot
BUZ	Caffeine-induced state, slangily
SRI	Eastern honorific
ALIT	Came to rest
FEU	Pot-au-___ (French stew)
DETOUR	Sign near roadwork, maybe
RAZMATAZ	Flashy display
AMERICAN	Like apple pie, in a saying
JACUZI	"Water that moves you" sloganeer
CIA	Org. in "Burn After Reading"
MARLBORO	Brand with an iconic cowboy
BRIDGE	Game with a dummy
ONRYE	Where pastrami may be put
YENTL	1983 Streisand title role
SERI	Golf's ___ Pak
LOFT	Toss high up
OGRE	Big brute
FRIZ	Bad hair day problem
TEE	Kicker's aid
SEDERS	Passover meals
SCH	Coll., e.g.
ING	Dutch-based financial giant
GEOMETRY	Euclid's subject
GRE	Test for Ph.D. wannabes
NICKED	Having a razor injury, say
KISMET	Destiny
ENT	Otoscope user, for short
EERIE	Like Rod Serling tales
EMOTE	Gush on stage
CATCHINGSOMEZ	Asleep ... or a hint to this puzzle's theme
COST	Part of COLA
ALPO	Bowser's bowlful
SLR	Camera type, briefly
JOLLA	La ___ (San Diego area)
JAZ	Newport festival music
STELMO	Patron of sailors
ASP	Nile slitherer
NIM	Matchsticks game
INIDLE	Out of gear
RETAGS	Marks up or down, perhaps
ARTURO	Conductor Toscanini
GRIZLY	Yellowstone sighting
SANYOS	Some plasma TVs
ZTOP	Rock trio known for its bearded members
PIZAZ	Zest
NEWS	"This just in ..." fare
WAFER	Nilla cookie
STUPE	Dimwit
TERRA	Earth, in sci-fi
IMITATOR	Copycat
MELL	"Momma" cartoonist Lazarus
OZIE	Harriet's mate
TIN	Element with the shortest name
QUIZED	Tested, as on "The $64,000 Question"
QBS	Eli and Peyton Manning, for two: Abbr.
UAW	Motor City labor org.
ICI	Here, to Henri
FUZYWUZY	1892 Kipling poem
WAR	Collect-all-the-cards game
BACALL	"Key Largo" actress
EPI	Prefix with dermis
ARLO	He sang about Alice's restaurant
SWIZLE	Iced rum cocktail that's stirred with a stick
REE	Mr. ___ (old whodunit game)
ROYS	Orbison and Bean
