MACAW	Colorful bird
MIDIS	Not-quite-ankle-length skirts
ANOTE	Make ___ of
CAUSE	Free Tibet, e.g.
ABBA	"Chiquitita" group
WILD	Natural
LEDON	Beguiled, maybe
LAPLAND	Santa's traditional home, to some
ERA	Procter & Gamble laundry brand
DECRYPT	Crack, in a way
OGEE	S-curve
NOSALT	Dietary restriction
CANASTAS	Seven-card melds
CATTLEMEN	Ones promoting brand awareness?
API	Bee: Prefix
NERD	Brainiac's put-down
AHEAP	Oodles
SOIREE	Big do
TURNSTILES	Prepares to play Scrabble?
ASO	Japanese volcano
SEN	D.C. V.I.P.
INABIT	Shortly
TEE	Casual top
AREGO	"All systems ___"
APEHOUSE	Zoo home for gibbons
DOUBLESPACES	Goes from walk to trot and trot to gallop?
SAKI	"The Open Window" writer
TIREIRON	Lever in a trunk
ITSADEAL	"You're on!"
REACT	Flinch, say
COT	"M*A*S*H" prop
DARN	Tend to a hole
SEE	Visit
KATY	S-s-s-subject of a 1918 hit song
TSO	General on a menu
LOLA	The "her" in the lyric "I met her in a club down in old Soho"
ARA	Coach Parseghian
PESOS	Change south of the border
OCTILE	45-degree wedge
SHODDY	Substandard
TRAINSPOTTERS	Teaches a ceramics class?
TAILSPINS	Closely follows secret banking information?
RAW	Like some emotions
AMY	Funnywoman Sedaris
OED	U.K. reference
SUSSOUT	Solve, in British slang
ETCH	Outline clearly
SALAAM	Greeting of respect
SWEE	___' Pea
AYLA	"The Clan of the Cave Bear" heroine
LSAT	It includes a sect. of logic games
DOTE	Pour on the love
MAUI	Where Haiku is
ITHOT	"Some Like ___"
ITO	"Was ___ blame?"
WYSIWYG	Word-processing acronym
GROIN	Common place for a pull
DIKE	Dutch construction
INTACT	Whole
KOOKOO	Gold-certified debut album of Debbie Harry
STOLID	Not easily stirred
OILSPILLS	Makes drugs easier to swallow?
ELAL	Carrier whose name means "skyward"
REID	Frist's successor as Senate majority leader
ENC	S.A.S.E., e.g.
ICEMAN	Nickname for Björn Borg
DESILU	Big production company in 1950s-'60s TV
NON	Vote in Versailles
SHIELD	Bulwark
EATS	Chow
CONCERTO	One of two by Liszt
CLAIROL	Hair care brand since 1931
RTS	N.F.L. linemen: Abbr.
WOOLSEY	James who was C.I.A. director under Clinton
WONKY	Knowledgeable on arcane details of a subject
POLICESTAKEOUTS	Monitors food orders to go?
OCTET	Maids a-milking in a Christmas song, e.g.
EUR	It borders the Atl.
PELICAN	Piscivorous flier
PATIOS	House add-ons
EVENSO	Be that as it may
LANDSCAPES	Manages to grab some bullfight attire?
MISCOUNT	Election problem
PAPP	Founder of New York's Public Theater
ADAM	First of all?
PLIE	Bend for Baryshnikov
PETS	Strokes
AVANTI	"Onward!," in Italy
SAL	Narrator in Kerouac's "On the Road"
SONGMIXER	Recording engineer, sometimes
TORK	The blond Monkee
IDLE	Potentially going into screen saver mode
TENSER	Less mellow
ONUS	Albatross
SYS	___ admin
YOPLAIT	International food company based in Paris
OHH	Cry from one who just got the joke
POE	"Eldorado" poet
IND	Ky. neighbor
TORN	Unable to decide
RIO	Kia model
YAWS	Doesn't quite go straight
AWESOME	"Like, totally cool!"
WIZ	Michael Jackson film, with "The"
STRASSE	German street
HOLMES	"The Five Orange Pips" sleuth
OSSO	___ buco
OAXACA	Mexican state south of Veracruz
LIGHTSWITCHES	Illuminates a Halloween display?
HOP	Jump #1 in a triple jump
TOASTS	Parts of many celebrations
CART	Haul
SOCAL	San Diego's region, for short
LENTS	Fast times?
OMOO	Melville work
EZRA	Book after Chronicles
CSA	Group defeated in '65
CREEP	Skeevy sort
SERTA	Sealy competitor
ASSAY	Evaluate
AXES	Eighty-sixes
SWIT	Houlihan player on TV
IPASS	Bridge declaration
SHAW	Only man to win both a Nobel Prize and an Oscar
ARMOIRES	Wardrobes
MOP	Swab
OPEC	Its HQ are in Austria, which isn't a member
IPSO	___ facto
JAPANWAX	Ingredient in furniture polishes
JED	One of the Beverly Hillbillies
ALI	Lighter of the Olympic flame in Atlanta
AVE	Constitution in D.C., e.g.
SHOWSTOPPERS	Puts hats on display?
WED	Hitch up with
ELECTIVE	Music Appreciation 101, perhaps
TAMES	Calms
PESETA	Pre-euro coin
DISASTER	Big snafu
SWEDE	Any member of 4-Down
COPAY	Insurance holder's burden
