FAST	Observe Yom Kippur
FLOW	Move like lava
AUDI	Carmaker from Bavaria
SKIN	Tattoo artist's "canvas"
TENSIONS	Causes of stress
BITE	Small snack
BIGMAC	Whopper rival
IDLE	Just chilling
TOOL	Hammer or hoe
ELMO	"Tickle me" guy
DITCH	Foxhole, basically
DEFENDS	Keeps safe
INASEC	"Very soon"
TOTO	The Wizard of Oz's exposer
CLAM	Littleneck, e.g.
HALE	Robust
LUKE	Darth's son
IDOL	Immunity item on "Survivor"
ENOLA	___ Gay (W.W. II plane)
ODIN	God who rode an eight-legged horse
GLOM	Latch (onto)
FATAL	Disastrous
WINSOMELOSESOME	"Everything can't work out perfectly"
ODDS	Part of a sweepstakes's fine print
SOARS	Flies high
IDA	Actress Lupino
ONE	Binary digit
GOODCOPBADCOP	Tactic during police questioning
GARTH	"Wayne's World" sidekick
ORATE	Speak at length
OPTED	Was decisive
PAINS	Minor nuisances
BIRTH	Blessed event
OMANI	Citizen of Muscat
PAVED	Put asphalt on
BARNS	The Amish raise them
BIO	Story of one's life
PAIRS	Figure-skating division
MAT	Judo setting
TEX	Country singer Ritter
IRAS	401(k) alternatives
STIRS	Moves a muscle
SCIFI	Heinlein's genre
SAVE	Word processor command
SNAGGING	Laying hold of
OTT	Giants outfielder Mel
SCENT	What a bloodhound tracks
SARALEE	Frozen dessert brand
ANNEX	Wing, perhaps
ASIA	Where Tibet is
HESAIDSHESAID	It's one's word against the other
SAGEST	Most like a swami
EFFORT	Attempt
ARF	Pound sound
FIG	Pear-shaped fruit
ONAGAINOFFAGAIN	Not continuous
OMNI	Magazine that had a "UFO Update"
NOOR	Jordan's Queen ___
ATRA	Gillette brand
NABS	Catches in the act
ORAL	Spoken
FLEA	Small circus performer
AREA	Square footage
IMAM	Islamic holy man
NATE	"Six Feet Under" character
MOTEL	Place with a "vacancy" sign
ARLO	Folk singer Guthrie
IRMA	"The Joy of Cooking" author Rombauer
NORSE	Like the Vikings
BAER	Boxer Max
NEAT	Without ice
IRATE	Hopping mad
SLAT	Part of a venetian blind
GAME	Othello, e.g.
