INFER	Surmise
IRMA	"Joy of Cooking" author Rombauer
NOEL	Holiday number
FUND	Supply with money
ESTONIAN	Native of the land known by natives as Eesti
REA	Stephen of "V for Vendetta"
SCOFF	Say "Oh, that was nothing," say
SMIRK	Smug look
COMAS	Postaccident conditions
OVAL	Indianapolis 500 track, e.g.
FIG	Biblical fruit
FEEDON	Use for sustenance
OWE	"I ___ you one!"
OPTIONPLAY	Football ploy
WOOLY	Like a sheep
EMMYS	TV awards
ROUSE	Awaken
MOVIE	"M," "W." or "Z"
POM	Small dog, for short
MENTALIMAGE	Picture in one's head
LOCH	___ Lomond
TOM	Barnyard male
ALDO	Gucci of fashion
ORAL	Face-to-face test
DAILY	Seven-times-a-week newspaper
ABE	Grandpa on "The Simpsons"
NICKS	Shaving woes
ISLE	Emerald ___
POBOYS	New Orleans sandwiches, informally
PINT	Pub order
GOFISH	"Do you have any jacks?" response, maybe
GOTH	One dressed in black, maybe
ONUS	Cross to bear
FERTILIZER	Garden enrichment
LINEN	Bedding material
LIES	Propaganda, often
ONEAL	Basketballer nicknamed the Big Aristotle
SPIN	Washer cycle
STAG	62-Across's woodlands mate
PHI	Honor society letter
PSU	Nittany Lions' sch.
SERE	Desertlike
USSR	"Back in the ___"
TURNEDTHETABLES	Regained one's winning status ... or a hint to this puzzle's circled letters
DDAY	Time of reckoning
AGRA	Indian tourist city
BEEFSTEW	Hearty entree that may be cooked in a Dutch oven
HST	"The buck stops here" prez
DAIS	Speech setting
GEARS	First, second and reverse
IDTAG	Suitcase attachment, for short
DAM	Beaver's work
TROOPS	Scout units
BREYER	Justice Stephen of the Supreme Court
BLOB	Gooey mass
SALARY	$100,000/year, e.g.
SPADE	Diamond alternative
ARDOR	Zeal
PILAF	Rice dish
PIANO	Elton John's instrument
INNER	Word before self or strength
PRIMO	A-number-one
DINO	Flintstones' pet
DEAN	College V.I.P.
SAGA	It takes a while to tell
ATNO	"___ extra cost!"
GOTO	Head for
AMEN	"You said it, brother!"
ADZ	Carpenter's curved tool
OCEANBOTTOM	Seabed
CLE	The Indians or Browns, on a scoreboard
ODS	Some E.R. cases
DOE	32-Down's woodlands mate
PLANE	Carpenter's smoothing tool
DENTE	Al ___ (like some noodles)
ERR	Goof
SENOR	Madrid man
SWOON	Faint with ecstasy
