BUFF	Like a hunk
BAKU	Transcaucasian capital
ULAN	Half an Asian capital?
FATS	Some nutrients
FREESTONE	Peach variety
CRAG	Perch for a bighorn
CAPTAINAHAB	To whom Stubb and Flask answered, in literature
REAL	Unlike fairies
ARDEN	Shakespeare's mother's maiden name
GOESABROAD	Takes a continental tour, e.g.
PAWNS	Puppets
PATCHY	Inconsistent
ARRAU	He recorded all 32 Beethoven piano sonatas in the 1960s
WHOCANITBE	Response to a ding-dong?
NALA	Simba's mate
STLO	The Vire River flows through it
ALAR	Trade name of daminozide
AERO	Saab model
ARHAT	Nirvana attainer
KATESPADE	Big name in bags
STPAUL	Minnesota twin?
TROLL	Internet forum menace
UNSETTLES	Shakes
CACAO	Major Côte d'Ivoire export
SPA	Where to get rubbed the right way?
NASHUA	Second-largest city in New Hampshire
SUSQUEHANNA	Three Mile Island is in it
MAITAIS	They're often garnished with orchids
MAJAS	Goya subjects
ANODE	Cell part
INHERSHOES	Jennifer Weiner best seller made into a 2005 film
SCRAPESOFF	Removes, as paint
BUY	Act like a bull?
NIP	Edge
IOTAS	Crumbs
PREYS	Is rapacious
ANNOUNCERS	They may call the shots
ERN	Rapacious flier
DIOR	Early Saint-Laurent employer
DEARSANTA	Words followed by a wish list
JOHNLARROQUETTE	Winner of four consecutive Emmys for his sitcom role as a prosecutor
UMPIRE	Home ruler?
ADEE	"Zip" follower
HANAUMABAY	Snorkeling spot near Honolulu
SER	Weekly msg.
GAP	Break
GROANS	Sounds like an old floorboard
DEPRESS	Get down
SORBET	Refresher between courses
ONSET	Nascence
TEPEE	Fox home
HIS	Matching pair marking
ETHNO	Race beginning?
EXPO	Fair
THRU	Street sign word
SEPARABLE	Not too tight?
PERM	It can make waves
BDRM	Apt. part
LEAP	Act precipitately
EDYS	One of its flavors is Dulce de Leche
XHOSA	Zulu relative
OPENENDED	Like some questions
PREEN	Get smart
FERN	Pteridologist's specimen
TRAY	Waiting aid
OUSTS	Cashiers
FEMA	Org. created by Carter in 1979
AMPS	Gear to help you hear
