ALAS	"Too bad!"
ARM	It may be slung in a sling
LOAD	Dumptruckful
ASIA	Where China is
SANDWICH	B.L.T., e.g.
TRENT	Sen. Lott
TREYS	Deuce toppers
RUNWAY	Takeoff site
ELLA	Actress Raines
NEAR	Not distant
TRIBE	Cree or Crow
DRAB	Hardly colorful
DANCER	Martha Graham, e.g.
ROOK	Castle, in chess
ANTS	Orkin targets
BEE	Quilting party
ROSA	Parks who wouldn't take discrimination sitting down
RULER	12-inch stick
AONE	Superb
MAIN	Water conduit
ENLAI	China's Zhou ___
NOTE	Do, re or mi, e.g.
DADDYWARBUCKS	"Little Orphan Annie" character
DANTE	"The Divine Comedy" poet
USE	Take advantage of
WASA	"There ___ young..." (common limerick start)
ESE	WNW's reverse
RESIN	Plant dripping
REFIT	Install to new specifications
ERATO	Poet's Muse
SETTO	Brawl
YOM	___ Kippur
OTHER	Partner for this and that, with "the"
MAR	Spoil
ERNIE	Newsman Pyle
NOMAD	Wanderer
INANE	Absurd
ESSEN	Ruhr Valley city
ERECTS	Puts up
SRO	Box-office letters
TAP	Spigot
PIE	Bit of Trivial Pursuit equipment
ONS	Switch positions
FATHERCHRISTMAS	Santa Claus
CRI	Dernier ___
STAGG	Coach Amos Alonzo ___
THROWOUT	Discard
ITT	Noted business conglomerate
ORE	Great Lakes cargo
ETHANE	C2H6
TOOTS	Sweetie
TOPPED	Went one better than
SPA	Place for a little R and R
IRS	1040 grp.
SHIITE	Devout Iranian
ARDEN	Last name in cosmetics
OPS	Photo ___ (media events)
SHACK	Rough cabin
HUGO	Supreme Court Justice Black
UNLED	Proceeding independently
PAPAHEMINGWAY	Nobel author, informally
PAIL	Item for Jack and Jill
AMMO	Bullets and such
EVAN	Writer Hunter
MARE	Stallion's mate
ANTI	The "A" in ABM
YEAR	Vintage
TAMP	Pack (down)
TLC	Special attention, for short
AVAIL	To no ___ (worthless)
ONES	Snake eyes
SHE	"___ Drives Me Crazy" (1989 #1 hit)
LIME	Lemon go-with
CARTE	Menu at Chez Jacques
UTAH	One of the corners at Four Corners Monument
CLOD	Blockhead
KNEED	Gouged sneakily
TIRE	Akron product
