TACKED	Added (on)
THEBURBS	Where many commuters live, informally
AEROSTAT	Balloon or blimp
CAROTENE	Sweet potato nutrient
KRONA	Icelandic money
ETRE	To be abroad
DSM	British mil. decoration
RIFTS	Schisms
RUSHIN	Enter quickly
INSISTS	Won't take no for an answer
FDA	Org. overseeing trials
TUG	Port pusher
SEEM	Come across as
BIDS	Says "Two 19-Across," e.g.
BURSAE	Holders of body lubricating fluids
ITASCA	Lake ___, source of the Mississippi
DADAS	Pops in the nursery
SHIP	Send
FDR	One of the Big Three, for short
FREERESPONSE	"It's on me"
DERAIL	Go off track
REALMS	What kings rule
HEARTS	See 12-Across
UNDUE	More than is required
UTAH	Home of Rainbow Bridge National Monument
REE	"Riddle-me-___"
ERRORMESSAGE	"Pardon me"
ETTU	Classical rebuke
RADIOERA	Late 1920s to around 1950
OPTIN	Choose to participate
BOONE	North Carolina town that's home to Appalachian State University
THI	Summer comfort stat
MASSAPPEAL	"Save me"
AWLS	Cobblers' needs
USTA	Seeding org.
ITISSO	Statement of fact
IONIC	Like some bonds
SEABIRD	Stilt, e.g.
ORGANS	Eyes and ears
WACS	"My best soldiers," according to Douglas MacArthur
TRIM	In shape
RTE	A.A.A. recommendation: Abbr.
COUNTERPLEA	"Feed me"
CORELLI	Arcangelo ___, Italian violin master
PANG	Sign of hunger
NIELS	Physicist Bohr
NNE	Tonga-to-Hawaii dir.
BANGON	Exactly right, in British lingo
GERALDO	Daytime talk show starting in 1987
SAGAS	"The Thorn Birds" and others
INNS	Stops on the road
ISEEA	"___ little silhouetto of a man" ("Bohemian Rhapsody" lyric)
STEERING	Kind of column or committee
NEU	Big word in German ads
GISELLE	Ballet set in the Rhineland
BAN	Put the kibosh on
VISE	It has strong jaws
VIADUCT	Word that led to the "Why a duck?" routine by the Marx brothers
INS	Walk-___
PUB	Modern trivia competition locale
UNTIL	Before
BOOTS	Cans
RECEIVINGLINE	"For me?"
VENOM	Nasty words
LEASE	Housing arrangement
BONO	Irishman who was a Time magazine Person of the Year in 2005
BIENNIA	Congressional terms, e.g.
TUBAL	___ ligation
TARES	Scale weights
UTILE	Functional
BOOKPROPOSAL	"Write me"
USERS	Ones entering rehab
EASESINTO	Enters gradually
SCOOTER	Child's wheels
ATOLLS	Snorkeling sites
SAFES	Bank holdings?
END	Break off
WAD	Plug
WARHERO	Battle star
ACESIT	Gets no answers wrong on the test
RIODIABLO	1993 TV western starring Kenny Rogers and Travis Tritt
BIN	Hamper
HASUP	Invites to one's apartment, say
HITTER	Batsman
PTA	Mom-and-pop org.
ONELS	Scott Turow's first book was about them
ELKO	Nevada city
FILMDIRECTION	"Shoot me"
DEAD	Very, very tired
ISLEY	Singing brothers' surname
SEP	Mo. with Natl. Grandparents' Day
RENE	___ Dubos, humanist who said "Think globally, act locally"
RMN	Presidential inits.
ETH	Old verb suffix
TASTIEST	Superlative on "Top Chef"
ENGIRDLE	Wrap around
STARLETS	Hollywood hopefuls
TOMMYROT	Flapdoodle
RAMS	Fearsome Foursome team
ANEST	"___ of robins ..."
OATEN	Like some grain
ONCD	Ready for a drive?
NONUKES	Protest cry
LEANTO	Rough shelter
UCONN	N.C.A.A. women's basketball powerhouse
UNCLOG	Get moving again, in a way
CARAFE	Wine order
TENDEROFFER	"Lean on me"
TOOLER	Mechanic
EARLAP	Cap attachment
FETISH	Obsession
FLAN	Sweet treat
GAM	Herd of whales
NAPE	Pickup place for pets
BOAC	Airline mentioned in "Back in the U.S.S.R."
BWANA	Safari leader
RONELY	Former Miss America host
FIRM	Al dente
FARAD	Unit of capacitance
CROSSWORDS	"Make me"
SCOT	Resident of the Land of Cakes
SPAS	Places to unwind
UTA	Actress Hagen
CARLY	Singing Simon
COIL	Thing to wind
LASTCALL	Bartender's announcement
PECKINGORDER	"Kiss me"
ELM	Hardwood source
CPA	One who knows one's liabilities
GRE	E.T.S. offering
OFA	Friend ___ friend
ONEA	Draft status
ALPES	Where Jean-Claude Killy practiced
RIALTO	Theater area
GEL	Lighting director's choice
TARP	Bank bailout acronym
SMASH	Big success
ELDEST	Child often having special responsibilities
