LITUP	Started a cigarette
LAGER	Hearty brew
IRENE	Jim Carrey comedy "Me, Myself & ___"
TONGA	Kingdom east of Fiji
USE	Milk for all its worth
PER	Pay-___-view
MAST	Sail supporter
MOTOR	Travel by car
AKIN	Closely related (to)
SRO	Sign at a sellout
TANLINES	Bikini wearers' markings
FANS	Rooters
FORESTATION	TV channel for golfers?
AVOW	State frankly
NASA	Shuttle-launching org.
SLAY	Murder
AROSE	Left one's seat
OKRA	Gumbo vegetable
OVAL	Track shape
GENERATION	Allotment of heredity units?
AWOL	Delinquent G.I.
ROSA	Parks who pioneered in civil rights
ENG	Our language: Abbr.
WON	Took the blue ribbon
LEEWAY	Room to maneuver
ETAS	Greek H's
REACTOR	Nuclear power apparatus
CARBONATION	Pasta-and-potato-loving country?
TWA	Former rival of Pan Am
HITS	Top 10 tunes
HAVEN	Safe place
AWL	Hole-punching tool
PANATELA	Slender cigar
PIXIE	Mischievous sprite
ELIA	Director Kazan
LIEN	Claim on property
AERO	Prefix with dynamic
TETRA	Prefix with -hedron
TAMS	Scots' caps
ETAT	Coup d'___
TOJO	Japanese P.M. during W.W. II
LIVESALIE	Is false to the world
LEDGE	Mantel
ATOB	Get from ___ (progress slightly)
SEXES	Battle of the ___ (men vs. women)
SEAHORSE	Equine-looking fish
TIER	Stadium section
MAJOREDIN	Studied primarily, at college
REST	Take a siesta
PIANO	Holder of 88 keys
PEA	Split ___ soup
STONEAGE	Caveman's era
REO	Vintage automotive inits.
REEL	Fishing line winder
ASHE	Tennis great Arthur
SEANCES	Mediums' meetings
SPENT	Paid out
COINS	Nickels and dimes
EVOKE	Call to mind
SONAR	Sunken ship finder
BLOTTO	Stewed to the gills
BROW	Furrowed part of the head
LARA	Dr. Zhivago's love
OVER	1964 Dave Clark Five song "Glad All ___"
APE	King Kong, e.g.
AVIS	Hertz rival
OVO	Lacto-___-vegetarian
RAVI	Sitarist Shankar
REVELATION	Preacher's sky-high feeling?
EPA	Mileage rating org.
ASP	Cleopatra's biter
TAO	Eastern "way"
OREO	Twistable cookie
SPIN	Turn at roulette
SANKA	Decaf brand
WARN	Give an alert
EAST	Direction of sunup
POSER	Sticky problem
