PANG	Twinge
PAYER	One with checks and balances?
AMUSE	Beguile
NORTE	Durango direction
GRIEVES	Distresses
ABOMBS	W.W. II blast makers
ARAM	Composer Khachaturian
BEG	Have a hand out, say
OBAMA	Future senator who delivered the 2004 Democratic convention keynote address
MARIN	California county
BLINI	Shrovetide dish
SENDBACK	Remit
SEA	Realm of Proteus, in Greek myth
SATELLITE	38-Across, e.g.
EXIT	"No ___"
ALES	Stein fillers
AMOR	___ patriae
REBALE	Pack again, as hay
AXL	___ Rose
YURIGAGARIN	Leading Russian in the 32-Down
GEER	"The Waltons" actor
TIE	One to one, e.g.
ESTEEM	Regard
MINDSETS	Attitudes
SELL	Dump, e.g.
REEVE	Pilgrim in Chaucer's "The Canterbury Tales"
SANIBEL	Florida island resort
STRUT	Show pride, in a way
ERST	Once, once
SAP	Bonehead
ALLAH	Prayer word
AVOW	Profess
HEWN	Chopped
BASS	Paul McCartney played it for the Beatles
BARD	Odist, e.g.
AMOI	Parisian possessive
SPACERACE	Event started by 38-Across
ARES	NASA launch vehicle
ETA	___ Pi (dessert lover's fraternity?)
SNORT	Stallion's sound
CLIVE	Record producer Davis
AMP	Connection for an electric guitar
SPUTNIK	Newsmaker of October 4, 1957
STARDATE	Enterprise log entry
ISH	Suffix with sheep or goat
TOW	Result of a road emergency
ROAST	Be hot under the collar
STAN	1972 Wimbledon winner Smith
TAOS	New Mexico county or its seat
SEWN	Basted
SEALPUP	Arctic newborn
DICTA	Orders
RHEE	Korea's Syngman
ELIE	First name at the 1986 Nobel Prize ceremony
EARHART	"20 Hrs., 40 Min." author, 1928
HALEN	Van ___
ALAND	"___ flowing with milk and honey" (Canaan, in the Bible)
RENDS	Tears
LASSO	Catch on the range
STARE	Intimidate, in a way, with "down"
SERGE	Suit material
ODDER	Comparatively unconventional
FERNDALE	Detroit suburb named for the plants the area was once overgrown with
FETA	Kind of cheese
ERIC	Newsman Sevareid
SILTED	Blocked, as a harbor, with "up"
SHOP	Butcher's, baker's or candlestick maker's
ERA	Victorian ___
ALANSHEPARD	Leading American in the 32-Down
STU	Disco guy on "The Simpsons"
TIC	Twitch
TENDTO	Personally handle
URGE	Egg on
ACE	Bridge topper?
ENDSUP	Finishes
PEER	Earl, for one
