SPASMED	Was jerky
STOPOFF	Tarry for a bit
POPELEO	One of 13 religious leaders
ASTUDYINSCARLET	Seminal mystery of 1887
SPITE	Venom
MAC	Bub
ERAT	"Hoc ___ in votis": Horace
DELETED	Dropped
KEEPFIT	Stay in shape
KILAUEA	World's most active volcano
ENL	Development order: Abbr.
EDUCE	Develop
POSH	Far from shabby
FRIEDONIONRINGS	Burger accompaniment
ISOLATE	Maroon
TENANTS	Flat population
TOSPARE	Left over
INDORSE	Support: Var.
OPTICALILLUSION	Thing that may appear to be symmetrical but isn't ... like this puzzle's grid
IMAX	Means of seeing the big picture?
PEUT	___-être (perhaps, to Pierre)
TEMA	Melodic subject, in music
CHELA	Lobster claw
OLDEN	Immemorial
NATALIE	Merchant selling records
TAUPE	Hose shade
PIRATE	Take the wrong way?
DAN	Blocker of 1960s TV
FEY	"30 Rock" creator
ALEXEI	Tolstoy's Vronsky
LEMON	One might show up in a casino
MOTT	19th-century women's rights advocate
MERL	European black thrush
FOISTED	Introduced surreptitiously
SOI	"___ see!"
ARLENES	TV's Francis and others
LEADS	Results of "Unsolved Mysteries" airings
NOAM	First name among linguists
AERI	Gas: Prefix
EPSILON	Symbol of electromotive force
ESTADOS	Chihuahua and others
PARTONE	Succession starter
NULLSET	It has zero measure, in math
ATALOSS	Buffaloed
ANDANTE	Slowly scored?
SIESTAS	Occasions to close up shop
STRASSE	Berlin boulevard
SAC	Egg holder
INURNED	Buried
RIGA	European capital
NIT	Little beef
TRACE	Draw very uncreatively
CALLS	Decisions on the field
LID	Topper
SORER	More likely to blow up
OPERA	Work on a grand scale
ATRA	Blade handle?
ALGAE	Potential pond poisoner
ARNO	It flows through 55-Across
EDEN	Starting point?
PISA	See 53-Down
DOLLARSANDCENTS	Considered financially
AAH	"Feels so good!"
CAM	Nanny ___
ONELANE	Narrow, in a way
TEARGAS	Demonstrating control?
SETSHOT	Alternative to a jumper
ENMASSE	How hordes move
