ARMS	Treaty subject
ALTARS	Sacred places
ROARED	Laughed loudly
MORASS	Swampy area
SMORE	Chocolaty campfire treat
FOSSE	Broadway's Bob
FACT	Almanac bit
OVA	Egg cells
SIR	Lady's man
SADAT	1978 Peace co-Nobelist
ENSURE	Guarantee
LPGA	Org. of which Nancy Lopez was once champion
LIZ	Gossipy Smith
PROTOCOL	The right stuff?
GARAGES	Some sale sites
ANALYST	Assayer, e.g.
LOOM	Hang over one's head
AVIAN	For the birds?
IRAN	Neighbor of Azerbaijan
TAROTCARDS	Prediction basis #1
TAWDRY	Cheaply showy
ZORA	Author ___ Neale Hurston
ARARAT	Biblical landfall
AUK	Diving bird
KOD	Sent to the mat
TAL	Chess champ before and after Botvinnik
RESEW	Hem again
ASTROLOGY	Prediction basis #2
ABETS	Cases the joint for, say
STRANGE	Way out
LULLS	Slow times
SDS	60's campus org.
DEBT	Card balance
EIS	Frozen Wasser
EDUCES	Draws out
CRIERS	Old yellers?
CREEL	Angler's basket
SLOES	Tart fruits
LOST	Was second-best
CRYSTALBALL	Prediction basis #3
CIGARBOX	Container with a lid that flips
BON	Voyage beginning?
APLOMB	Self-confidence
OPIE	English painter John
OUTAGES	Power problems
PREPARE	Whip up
SNOOPS	Buttinskies
URGEON	Prod
OEN	Vintner's prefix
NABOBS	Moguls
GENL	Robt. E. Lee, e.g.
DOR	Côte ___, France
DETAIL	Micromanager's concern
OVERDO	Carry too far
REDDOG	Football blitz
TEALEAVES	Prediction basis #4
VAULT	Safe place
OFEVE	"The Three Faces ___"
FOOLS	Nincompoops
APR	Car ad abbr.
NBA	Hoop grp.
EMOTED	Wept wildly, maybe
EATS	Takes in
GABS	Ties up the line
SOY	Sauce source
OUIJABOARD	Prediction basis #5
IOU	Promise to pay
JAB	The "one" of a one-two
EROO	Suffix with stink
BLOAT	Cause to swell
LIDO	Adriatic resort
SEXY	Like a pinup
STUBS	Check mates?
SLOG	Toil wearily
