SLAG	Smelter's waste
SHAFT	Mine passage
LAURA	Hillary's successor as first lady
ALTER	Lengthen or shorten
GOON	Thug
RIOS	The Amazon and others
RAPHAEL	"Sistine Madonna" artist
IRAQI	Many a Kurd
OCCUR	Take place
SHEA	Where the Mets play
SCALE	Item a fisherman uses ... or removes
SCOTTY	"Star Trek engineer
COVET	Wish for
AMERICANA	Some cultural artifacts
LEN	Author Deighton
ETS	S.A.T. org.
HALO	Angel's headwear
ARCH	Place for a keystone
COMET	Streaker in the night sky
AUTO	VW or Volvo
PACE	Stride
OVENS	Pizzeria fixtures
FRENCHQUARTER	Tourist attraction in 31-Across
CHORE	Mowing or raking, e.g.
RAPS	Knocks
TAR	Sticky stuff
HAIR	Wig, essentially
ATTIRE	Clothing
RAVES	Four-star reviews
EMERY	Polishing substance
WOE	Grief
WONK	Policy expert
SPY	Finder of secrets
SNUB	Rudely ignore
CAM	Video producer, for short
NEWORLEANS	City founded in 1718 by the Sieur de Bienville
NOHOW	Slangy negative
EVADE	Steer clear of
WINDSDOWN	Gently comes to a close
ECHO	Canyon sound
APE	Gibbon or gorilla
EAVE	Roof overhang
EWES	Rams' ma'ams
OVINE	Sheeplike
CPU	Computer's core, briefly
OWNER	Title holder
OGLED	Looked at lustfully
HANK	Length of yarn
THEBIGEASY	Nickname for 31-Across
TAXI	It has a horn and charges
IRONAGE	Early period in human history
ODD	Hardly ordinary
TAO	Philosophical ideal
TEXANS	Lone Star Staters
RLS	"Treasure Island" monogram
WESSEX	Prince Edward's earldom
SINAI	Mideast peninsula
FLOE	Arctic phenomenon
FLAIL	Swing wildly
LARGO	Slow, musically
MAO	Great Leap Forward leader
MANIA	Craze
AZTEC	Early Mexican
OZONE	Ultraviolet ray blocker
DIXIELANDJAZZ	31-Across entertainment
ERRS	Flubs
JILL	Jack's partner
LEONA	Hotelier Helmsley
LAD	Stripling
ESE	Opposite WNW
RARA	___ avis
INTO	Put ___ words
ASWAN	Egyptian dam site
RIGG	"Mystery!" host Diana
LIEN	Legal claim
DENIS	Patron saint of France
SLOE	___-eyed
LACE	Doily material
