APT	Likely
ADHOC	___ committee
PAULA	Newswoman Zahn
TYPES	Varieties
CHILI	Hot dish with beans
CLONING	Asexual reproduction
HUB	Where spokes meet
IRIS	Showy flower
LILY	Showy flower
IDES	“Beware the ___ …”
GOREN	Bridge maven Charles
GAZEBOS	Park shelters
ONAMARCH	Parading … or a hint to this puzzle’s theme
RIP	___ Van Winkle
ESP	Psychic’s claim
NEA	Educator’s org.
DAY	Justice Sandra ___ O’Connor
LURID	Appealingly shocking
ANISE	Licorice flavoring
HUPMOBILE	Antique auto
MISO	Japanese soup
ZAPPA	Frank of rock’s Mothers of Invention
OLEIN	Vegetable oil component
SYSTEM	The “S” of CBS
TAP	Punch out, as Morse code
CASSIS	Black currant
SERB	Kosovo war participant
ABASED	Humiliated
STRAY	Not stay on the path
EWERS	Pitchers
DOWEL	Wooden pin
ONELUMPORTWO	Tea server’s question
LEAPT	Bounded
UTTER	Absolute
MAORI	New Zealand native
MAD	Out of one’s mind
MASTS	A brig has two
ALPHA	___ male (top dog)
DIARY	Locked book
GRETA	Van Susteren of Fox News
SCREW	Alternative to a nail
ALIE	“That’s ___!” (angry denial)
EYESLEFT	Command to people who are 10-Down
BATON	Conductor’s stick
NIKE	“Just do it” sloganeer
HARE	Long-eared hopper
SPAYS	Neuters
SENORES	Gentlemen of España
PERIL	Danger
LEVITES	An original tribe of Israel
YSL	Fashion inits.
THREESTRIKES	Cause of an out
SOW	Scatter, as seeds
SERF	Feudal figure
SAYSNO	Refuses
EVENED	Smoothed
NAOMI	Ashley’s country-singing mother
EQUAL	Sweet’N Low rival
DIRTS	Mud, dust and grime
LOWERS	Drops
EPIC	Like “The Lord of the Rings”
RENO	It’s north of Carson City
STAR	Movie rating unit
IRAQI	Baghdad resident
OUTER	___ Mongolia
OKS	Approves
UNA	Spanish article
TIL	Up to, informally
PETITFOUR	Small frosted cake
IND	Polit. maverick
KNIFE	Item confiscated at an airport
INANE	Goofy
MAT	Wrestler’s locale
SALTS	Seasoned sailors
CORDS	Parachute pulls
ILS	They: Fr.
