ADAMANT	Refusing to give
ABSCISSAS	Distances from the y-axis on a graph
DATESTAMP	Office gadget
ADULTERER	One leaving the band to pursue other interests?
MARLO	Thomas in entertainment
ARGO	It survived the crashing rocks, in myth
NEE	Previously
TAS	Some grad students, for short
UTENSIL	Part of a place setting
UKASE	Decree
TELETYPISTS	Old UPI employees
ENL	Photo reprint option: Abbr.
NNE	Bristol-to-Birmingham dir.
SEWON	Attach, as stripes
IDING	Pointing a finger at
LYSES	Dissolves, as cells
BADAREA	High-crime district
KENNEDY	Half profile?
STURGES	John ___, who directed "The Magnificent Seven"
ALLEWIS	Role for which George Burns won Best Supporting Actor in "The Sunshine Boys"
CELLO	Part for five Beethoven sonatas
ISE	Suffix with colour
IMMANENCE	Innateness
ONE	With 51-Down, a common tennis score
ISTO	Part of a proportional representation?
SOMETHINGS	"___ missing ..."
SMOCKFROCKS	Farm workers' protective outerwear
OCTAL	Of a certain number system
HORSY	Merry-go-round figure, to a child
INITS	Some needlework: Abbr.
STE	___ Genevieve, Mo.
MCM	Year of the first Davis Cup matches
YON	Burns's "O Were My Love ___ Lilac Fair"
SARASOTASPRINGS	Resort south of Tampa
ARIAS	1987 Nobel Peace Prize recipient
SINUS	Drainage site
SHREK	Lovable 2001 cartoon hero
NOTREALLY	"I wouldn't say so"
GREENMILE	Tom Hanks film, with "The"
SYMBIOSES	Mutual relationships
AMERICANHISTORY	High school subject
SPRINKLERSYSTEM	Fire safety measure
AUF	"___ Deutsch, bitte" (German teacher's request)
NET	After everything
REB	Insurrectionist
DRESSRACKS	Shifts places?
DCUPS	Big top features?
RONEE	Blakley of "Nashville"
EXLAX	Novartis product
ASHES	Remains
LENI	Filmmaker Riefenstahl
LIBEL	Write wrongs
COX	Harding's 1920 opponent
OSE	Suffix with tubul-
TIAMO	Italian lover's coo
TAIL	Detective, at times
UNLATCH	Open
ALL	See 21-Across
TIE	What 21-Across 51-Down is
CHABLIS	White option
CAW	Harsh sound
HRE	Longtime Hapsburg domain: Abbr.
PEALIKE	Small and round
ARIELLE	Actress Dombasle of French film
SEXLESS	Gender-neutral
WELLYES	"Of course!"
