BACH	"Goldberg Variations" composer
BENT	Inclination
ALIE	"___ of the Mind" (Sam Shepard play)
CLEA	"The Alexandria Quartet" finale
HATCH	Deck opening
DEAF	Like Beethoven
DISPOSAL	Kitchen sink device
ENC	Business letter abbr.
ACH	Essen interjection
FAEROE	___ Islands, between Scotland and Iceland
SNAPS	Crisp cookies
SQUEEZE	Very narrow fit
NULL	Valueless
AITS	River isles
PERI	Prefix with scope
STAN	Cartoonist Drake
ELLA	"The Intimate ___" (1990 jazz album)
INCA	Empire builder
QUIET	Zipped, so to speak
NIETZSCHE	Start of some campus graffiti
ZUBIN	Maestro Mehta
ULTRA	Extreme
TEACUP	Spode item
REELSIN	Lands, as a fish
EST	D.C. is on it
HBO	TV inits.
DOSE	Doctor's cupful, maybe
DISCARD	It's not part of a play
NEA	Teachers' org.
NOHOW	Adverb disdained by English teachers
ERICH	Author ___ Maria Remarque
ADLAI	Ike challenger
ISPIETZSCHE	Graffiti, part 2
PLY	Layer
STLO	Manche capital
CHIVE	Relative of a leek
HALES	Compels to go
ENTRE	___ nous
ORDINALS	First and second
ITLL	"___ never work!"
ETHAN	Wharton's Frome
HILT	To the ___
LYCRA	Du Pont trademark
RPT	Employee's wrap-up: Abbr.
APRESMOI	Time for le déluge?
LILT	Music box music
OCALA	City whose name is derived from a Timucua Indian name
AEROSOL	Pfffsss producer
APPROVER	Rubber stamp
REATA	Gaucho's rope
WHILESARTRE	Graffiti, part 3
SUR	Big ___
ADMITS	Shows honesty, in a way
ESE	Canton ender
RUDD	1960's revolutionary Mark
EAT	Snack
TORSO	Gallery installation
ARTFORM	Collage, e.g.
AGAR	Thickening agent
RULE	Do or don't
TRAP	Fat mouth
FUME	Cause for opening a window
STOATS	Not so valuable furs
ATTN	Business letter abbr.
TREE	Ring site
SEWS	Wraps (up)
GURUS	Experts
ISSMARTRE	End of the graffiti
SOO	___ Canals
STL	N.L. Central team inits.
ALAMO	National competitor
TOTO	In ___ (not piecemeal)
STEW	Beef ___
REPEL	Oppose
SOLI	Coloraturas' performances
ONES	Till compartment
