BED	Four-poster, e.g.
BRACER	Stimulating drink
EUCHRE	Trick-taking card game
DETERS	Dissuades
AREA	Carpeting calculation
ALAS	[Sigh]
ROBERTO	Oscar winner Benigni
ELUDE	Escape from
ALTAR	Place to exchange rings
MABELL	Old name for the phone company
MATINEE	Afternoon show
AMOS	Singer Tori
BASH	Big party
ELS	Chicago trains
LIE	"The dog ate my homework" is a classic one
LED	Was in front
RUE	Regret
LOLL	Laze about
AMALIE	Charlotte ___, Virgin Islands
ACT	Perform in plays
ABUT	Border on
TOSSED	Like some salads
CHEESEDANISH	Breakfast treat
ESE	From Neb. to Ky.
NUCLEI	Cell parts
ERRS	Goofs
RERUN	Summer TV offering
LOU	Comic Costello
LITE	Lo-cal
ONCE	Fairy tale start
UGHS	Exclamations of disgust
RESEAT	Usher to a different part of the theater
ADDER	Viper
CEILING	Floor's opposite
IDAHO	The Gem State
LUG	___ nut (wheel fastener)
DOUBLEDUTCH	Jump rope variation
URGENT	High-priority
BOL	Manute ___ of basketball
ILIAD	Homeric epic
IBMS	Some PC's
LOCO	Nutso
IDES	Midmonth date
AYN	Writer Rand
ROE	Lobster eggs
AGEES	Writer James and ballplayer Tommie
BODYENGLISH	Twists and turns in a bowling alley
NOSIEST	Most prying
STRUDEL	German pastry
MCENROE	Three-time Wimbledon winner
TOASTS	Newlyweds get them
ALS	Capp and Capone
SUITES	Multiroom hotel offerings
TRAUMA	Psychological injury
SENTUP	Parodied
SOS	Distress call
SNEER	Look of scorn
EERIE	Spooky
ERODE	Wear away
LURE	Tackle box item
WHITERUSSIAN	Vodka, cream and Kahlúa cocktail
WEDS	Marries
HYDE	Jekyll's alter ego
SEAS	Caribbean and others
REDEYE	Night flight
RAG	Aid for a maid
ETE	French summer
DOT	Web site address part
RODE	Went by train
TUT	King in a Steve Martin song
ATODDS	In disagreement
IDEA	Notion
EMU	Australian bird
GETSET	Command before "Go!"
EELS	Snaky fishes
SAP	Tree juice
