AJAX	Fighter in the "Iliad"
ALEX	"A Clockwork Orange" lead role
JUMBO	Extra-large
AXION	Hypothetical fundamental particle
XERXES	Persepolis king
MERIT	Excellence
MIFF	Put out
EVER	"If I ___ ..."
RAVI	Sitarist Shankar
INEZ	Don Juan's mother
TARZAN	"Me" follower
ASFAT	Similarly round
AQABA	"Lawrence of Arabia" city
SUGARING	Sweetening
FIGS	Mediterranean harvest
ACRE	It's about 90 yards of a football field
TKOD	Eliminated from a boxing match, in a way
LUXE	Sumptuousness
IVANA	Onetime name at the Taj Mahal
QUICK	Apt
EMIR	OPEC dignitary, maybe
FEVER	It might be run in a hospital
AGGRO	Annoyance, in British slang
XBOX	Microsoft debut of 2001
FRIZZ	Common result of high humidity
BASED	Located
ONEG	Infrequent blood type, informally
GUARD	Sentry
AJAR	Like some doors
JSBACH	"St. Matthew Passion" composer, for short
SUSTAINS	Keeps going
SQUAWK	Loudly voice one's objections
TUP	Male sheep, in Britain
AALTO	Noted Finnish chair designer
ISEEA	"___ little silhouetto ..." ("Bohemian Rhapsody" lyric)
IAM	Modern sum?
AGRA	Locale of a much-visited mausoleum
MEAD	Flagon contents, perhaps
JFK	Stone work
JQA	Presidential inits.
FURY	Alecto, Megaera or Tisiphone
KAMA	Hindu god of desire
AQUAS	Blue hues
BINGED	Drank heavily
INHOT	___ pursuit
DMZ	Part of Korea, for short
QUADRUPLEPANGRAM	What this puzzle is, orthographically
DAZZLING	Brilliant
PAW	Manhandle
ARMADA	Spanish ___
TEACH	Head of the class, in slang
ADZ	Dressing tool
YAZ	1990 autobiography subtitled "Baseball, the Wall and Me"
WHOAWHOA	"Hold on ... what's going on here?!"
HEYKID	Geezer's cry to a young 'un
AVCLUB	Tech-savvy school grp.
ZEKE	Basketball's Isiah Thomas, to fans
ESPYS	Awards show with a Best Play category, with "the"
TVPG	Suitable for teen audiences
PHASE	Stage
GERMS	"Bugs"
JELLS	Gets set
JEST	Witticism
EQUI	Distant leader?
LUNE	Crescent shape
YWCAS	Some child-care center sites, for short
WORE	Abraded
COVE	Coastal feature
AKIM	Actor Tamiroff
SYNS	Thesaurus contents: Abbr.
CHEW	Plug
WACS	W.W. II group
EQUIP	Prepare for battle
KOOKY	Like the Addams Family
LARA	___ Croft, Angelina Jolie role
SUNNY	Optimistic
IRVIN	Hall-of-Famer Michael of the Dallas Cowboys
USMC	"Semper Fidelis" grp.
TIEGS	Model Cheryl
DEEMS	Judges
BESS	Longest-lived first lady
