ISLA	Part of un archipiélago
IAMS	Big name in pet food
STEAMSHIP	The Titanic, for one
LENTANEAR	Was a sounding board
AUTOS	Road runners
BUSMAP	Urban commuter's aid
BALI	Neighbor of Java
USN	Dept. of Defense branch
STOLE	Embezzled, e.g.
MOTETS	Mozart's "Ave Verum Corpus" and others
ARETOO	Playground retort
PMS	Residents of 10 Downing St.
SIR	"My dear ___"
SAMOA	Part of the U.S. south of the Equator
IWILL	Volunteer's cry
REGAL	Fit for the throne
ATEUPASTORM	Gorged, gorged and gorged some more, informally
PARTON	Dolly who sang "9 to 5"
AWE	Blow away
MENTALNOTES	Unwritten reminders
MIG	"Top Gun" target
SATORI	Zen enlightenment
LET	Wimbledon do-over
COLA	RC, e.g.
CHRONO	Time: Prefix
MAST	Sail support
SETONHALL	The Pirates of the N.C.A.A.
SNEE	Dagger in "The Mikado"
NUT	Fanatic
SSN	ID entered on every I.R.S. form
STDS	Norms: Abbr.
OWN	"My ___ Private Idaho," 1991 film
WSW	Egypt-to-Niger dir.
SOUR	Lip-puckering
THEONSET	Robert Frost poem about a snowfall
OLEOLE	Enthusiastic flamenco cry
TDS	N.F.L. stats
TOPIC	Anything to talk about
PEPPERONI	Alternative to mushroom or sausage
INATRANCE	Spellbound
CADS	Wham-bam-thank-you-ma'am types
DIAL	Clock face
WEDGY	Shaped like pizza slices
GTOS	1960s band with a car-related name, with "the"
YES	"Sounds good!"
NENA	"99 Luftballons" band, 1984
SPREE	Shopaholic's indulgence
EAT	Break a fast
STENOPAD	It may have wire binding
NUDIST	One with no tan lines
OAKS	Trees loved by squirrels
KORUNA	Czech currency
SNARES	Some drums
OSU	Sch. in Columbus
PTS	Halves of qts.
FALLTONES	Oranges, reds and golds
FRIZZ	Humid day hair problem
AUDIO	It's mastered in a studio
LDOPA	Rx for Parkinson's
EENSY	Minuscule, informally
DOER	Busy bee
OATER	Western, in slang
RUDE	Impolite
RAE	Comic Charlotte
TIARAS	Pageant crowns
TONS	Oceans
SEEN	Viewed
IDO	Swearing-in phrase
TURNTOSTONE	Petrify ... or what five alternating words in 17-, 23-, 29-, 43- and 50-Across can do?
TOE	Stiff ballet shoe part
TEA	Reason for a service break at Wimbledon?
ZIP	Number after many a state postal abbr.
ONESENTENCE	Many a Twitter message
ZOA	Taxonomy suffix
EASYAS	Undemanding courses
RIEN	Nothing, in Nantes
