JADE	Semiprecious stone
JAG	Sporty car, briefly
AVE	Park in N.Y.C., say
DONTWAIT	"Act now!"
EWER	Subject of some still lifes
TIES	Railroad fixtures
TITANIA	"A Midsummer Night's Dream" queen
INASEC	Not exactly now
ECRU	Like raw silk
SHARPENS	Whets
SIFTS	Searches (through)
SOANDSO	One who shall remain nameless
IMNO	"___ Angel" (1933 comedy)
FATTER	More round
THIEVE	Lift, so to speak
SASSES	Answers with an attitude
AVOW	Declare
INCH	Progress slowly
OMAHA	Siouan language
GENE	Characteristic carrier
TARA	Plantation of literature
ANTIS	The opposition
TREASURYNOTES	Some legal tender
ENTR	___'acte
YEAR	Oenophile's concern
SAW	One going back and forth
SDAK	Mt. Rushmore's place: Abbr.
ARNO	Ligurian Sea feeder
NNE	Route abbr.
PED	Short walker?
EVE	Time of anticipation
DRASTICMEASURES	Extreme action
STOOD	Endured
MELON	Breakfast or dessert dish
UNCLE	Family man
ANITRA	"Peer Gynt" dancer
ENRON	Company that had a 64-page "Code of Ethics"
KOTO	13-stringed Japanese zither
ELS	Urban transportation
ENERGIZE	Perk up
CMON	"Get the lead out!"
MISOSOUP	Sushi bar order
ONTO	Not duped by
NASH	"The Turtle" poet
ORONO	Home of the Atlantic 10's Black Bears
RETIRED	No longer in service
OFAN	In the wink ___ eye
MOLINA	Alfred ___ of 2004's "Fiddler on the Roof"
MELISSA	Girl's name from Greek for "a bee"
ORIN	"Mourning Becomes Electra" role
THEDEFENSERESTS	Court conclusion
TVSTAR	Johnny Carson, notably
HECUBA	"Iliad" wife
EXODUS	Major departure
SMOKER	One working on a puff piece?
VEX	Bedevil
TAR	Stuff in a pit
MLI	Middle of the 11th century
OOH	Cry at a light show
SCORINGPOINTS	Goal of most games (and a hint to this puzzle's theme)
ROSE	Pink potable
PREZ	Firm honcho
TARO	South Seas starch source
TUDOR	Renaissance ruler
IRKS	Bugs
AONE	Primo
NBA	Warriors' grp.
EEL	Sushi bar order
ABUSE	Bad treatment
ZEES	Fuzzy Wuzzy features
RUBE	Country cousin
RASED	Leveled, in London
EZRA	College endower Cornell
OPAL	___ glass
