HOHO	Guffaw
HEMPS	Plants used for fiber and food
OVERT	Blatant
HISOLDSELF	What a man making a comeback may get back to
OLAF	Count ___, villain in Lemony Snicket books
HINT	"Warmer" or "colder"
HOTTEA	Traditional cold remedy
INAFOG	Befuddled
NERO	Coup victim of A.D. 68
TSAR	Ruler of the Cossacks
STASH	Narc's find
SNOCONE	Summer treat
TENANT	Crofter, in Britain
AVIS	Enterprise rival
SECT	Sunnis, e.g.
HRE	Land once ruled by the Hapsburgs: Abbr.
EVIL	Dark side
ONES	George Washingtons
NEVER	On the 31st of February
MESA	Western flattop?
TARA	Fictional home of Gerald O'Hara
ONICE	Shelved
PROFITFORECAST	Tantrum expected from a money player?
IRMA	Neighbor of Hi and Lois, in the funnies
EMOTE	Act broadly
STL	Ram's home: Abbr.
REO	___ Speedwagon
MON	French possessive
DAMAGECONTROL	Preventive maintenance on a water barrier?
AHA	"So that's it!"
EVITA	Patti LuPone Tony-winning role
CON	Hoodwink
RACETRACKS	Ovals
OMAR	Sharif of "Doctor Zhivago"
LAMS	Clears out
PASHA	Turkish title
PALO	___ Alto
ASIF	"You wish!"
VOTE	It may result in a landslide
AMA	Org. with a snake in its logo
ASEA	Sailing
SWINE	Contemptible sorts
SMART	Clever
WIT	Cleverness
SCAM	Fast one
SON	Holy Trinity part
LIL	Diamond ___
EMIT	Shoot out
ENIGMAS	Knots
DOERS	Dynamos
DEEM	Judge
OFFONATANGENT	Beachgoer wearing bug spray?
OFNOTE	Significant
NOMORE	Gone
GRIPED	Bellyached
FIR	Source of some plywood
ORE	Mining target
ROM	Warsaw Pact member: Abbr.
OCTET	String ensemble, maybe
MTIDA	Vantage point of Zeus, in Homer
LONGTERMIMPACT	Bit of mischief that won't be noticed for years?
LENO	Nightly TV presence beginning 5/25/92
ONIT	"Get ___!"
ECCE	"Behold," to Cicero
ROOK	Castle
PASA	"Qué ___?"
VENOM	Gila monster's defense
VAT	Dye holder
COOP	Store on Harvard Square since 1882
ACTI	When the shipwreck occurs in "The Tempest"
ANITA	Gillette of stage and screen
CORE	Heart
SKED	Piece of Variety news
TOTES	Conveys
EKED	Scratched (out)
ASTA	Film dog
