VIEW	*Panama
VEST	Flotation device
ISAO	Golfer Aoki
ECCE	Roman cry
WAH	Baby's cry
ROAM	Lack direction
REBATE	Sales lure
OKAYS	Sanctions
AERO	Like sports cars, briefly
MYO	Muscle: Prefix
ASPEN	*Popular rest area
ASCAP	Grp. concerned with royalty
SHOTINTHEARM	*Male booster
PAH	"Poppycock!"
EVE	Very early exile
NEN	Relief pitcher Robb
ESCAPEKEY	Aid in an emergency
PADRES	They hold services in the service
SHAVE	Skin smoother
SACHABARONCOHEN	*Bat portrayer
NOSIREE	"Don't even think about it!"
TOE	Place for polish
DAYO	Belafonte song opener
OAT	Flour source
ORTS	Stuff for the disposal
ONOMATOPOEIA	*Words that come from clams
ASPIRIN	Relief provider
AGASSI	Career Golden Slam winner
ROPEDIN	Successfully lured
INKLESS	Dry, in a way
NEEDLE	*Aid in tailing
DONEE	Gifted person?
DIDASET	Played awhile onstage
ONADARE	How one might streak
TGI	___ Friday's
TENORS	Choir section ... and what are missing from the starred clues
NONE	Choice that avoids choosing
WINOS	Red or white nuts?
WELLES	*Famous son
REAR	Can
REREAD	Proof, say
TPKE	Something that takes its toll?: Abbr.
EDAM	Town on the IJsselmeer
CENSE	Perfume by burning
CATCALL	Jeer
HELD	In custody
LADA	Russian car make
AROSE	Became an issue
EDEL	Writer of the five-volume biography "Henry James"
LSAT	Some college srs. take it
TERI	"Desperate Housewives" co-star of Eva and Felicity
RAISE	Call alternative
REELED	Was apparently lit
EERO	Chair designer Aarnio
CAS	Job for un docteur
TERNS	Beach flock
THALES	Pre-Socratic philosopher
STEPDAD	New old man?
DWELL	Stay
AHEM	"May I speak?!"
ALTHO	Granting that, briefly
OWL	Noted head-turner
ELAL	Its liners have stars on them
ETCH	Create a lasting impression?
TAU	Cross character
TILE	Counter piece
AGEE	Posthumous Pulitzer winner of 1958
USAF	Falcons' home: Abbr.
THREELITTLEPIGS	*Sty for youngsters
TNT	Rubble maker
HOR	Where the land meets the sky: Abbr.
ROI	Father of une princesse
ISM	Surreal ending?
PUR	Big name in water filters
NOOIL	Salad or sandwich request
SCHEDULEA	Common 1040 attachment
TRIAL	*Deal
MHOS	Anti-resistance units?
REEF	*Cal ___
